raceId,driverId,constructorId,rank,points,grid,position,positionOrder,positionText,firstLapChange,pitStops
18,1,1,2,10,1,1,1,1,0,
18,2,2,3,8,5,2,2,2,0,
18,3,3,5,6,7,3,3,3,3,
18,4,4,7,5,11,4,4,4,2,
18,5,1,1,4,3,5,5,5,0,
18,6,3,14,3,13,6,6,6,-3,
18,7,5,12,2,17,7,7,7,3,
18,8,6,4,1,15,8,8,8,7,
19,8,6,2,10,2,1,1,1,0,
19,9,2,6,8,4,2,2,2,1,
19,5,1,7,6,8,3,3,3,1,
19,15,7,8,5,3,4,4,4,-3,
19,1,1,3,4,9,5,5,5,4,
19,2,2,1,3,5,6,6,6,-5,
19,17,9,12,2,6,7,7,7,2,
19,4,4,10,1,7,8,8,8,-2,
19,14,9,9,0,12,9,9,9,4,
19,18,11,4,0,11,10,10,10,0,
19,12,4,15,0,13,11,11,11,1,
19,21,10,16,0,17,12,12,12,-1,
19,22,11,11,0,14,13,13,13,-2,
19,3,3,13,0,16,14,14,14,2,
19,19,8,18,0,21,15,15,15,1,
19,11,8,19,0,19,16,16,16,0,
19,6,3,17,0,22,17,17,17,5,
20,13,6,3,10,2,1,1,1,1,
20,8,6,4,8,4,2,2,2,1,
20,9,2,5,6,1,3,3,3,-1,
20,2,2,2,5,6,4,4,4,0,
20,5,1,1,4,5,5,5,5,1,
20,15,7,7,3,7,6,6,6,2,
20,17,9,8,2,11,7,7,7,1,
20,3,3,6,1,8,8,8,8,1,
20,10,7,9,0,13,9,9,9,1,
20,4,4,13,0,10,10,10,10,2,
20,22,11,10,0,12,11,11,11,-1,
20,21,10,11,0,18,12,12,12,4,
20,1,1,19,0,3,13,13,13,-6,
20,6,3,17,0,16,14,14,14,-2,
20,7,5,15,0,15,15,15,15,0,
20,19,8,14,0,21,16,16,16,2,
20,11,8,20,0,22,17,17,17,6,
20,14,9,16,0,17,18,18,18,0,
20,16,10,18,0,20,19,19,19,-1,
21,8,6,1,10,1,1,1,1,0,
21,13,6,2,8,3,2,2,2,1,
21,1,1,3,6,5,3,3,3,1,
21,9,2,4,5,4,4,4,4,-1,
21,17,9,8,4,7,5,5,5,-1,
21,18,11,5,3,13,6,6,6,0,
21,6,3,15,2,12,7,7,7,-2,
21,15,7,10,1,8,8,8,8,-1,
21,2,2,7,0,9,9,9,9,2,
21,21,10,14,0,19,10,10,10,4,
21,10,7,12,0,14,11,11,11,-3,
21,14,9,11,0,17,12,12,12,1,
21,11,8,17,0,22,13,13,13,2,
23,1,1,6,10,3,1,1,1,1,
23,9,2,5,8,5,2,2,2,1,
23,13,6,4,6,1,3,3,3,0,
23,17,9,8,5,9,4,4,4,-2,
