,raceId,driverId,startingPosition,driverStandingsId,points,position,positionText,wins,pit_times,first_lap_ranks,first_lap_change,accident
0,18,1,1,1,10.0,1,1,1,[9.9332109  3.81911568],1,0,0
1,18,5,3,5,4.0,5,5,0,[ 5.5990972   6.90317384 10.40667005],3,0,0
2,18,2,5,2,8.0,2,2,0,[11.81014444 11.38333146],7,2,0
3,18,3,7,3,6.0,3,3,0,[11.64446297  4.3642006   7.15919731],12,5,0
4,18,4,12,4,5.0,4,4,0,[12.48548922  5.71024426],14,2,0
5,18,6,14,6,3.0,6,6,0,[ 8.20751232 11.85525027  7.00384054],5,-9,0
6,18,8,16,8,1.0,8,8,0,[10.64376794  5.42282012],16,0,0
7,18,7,18,7,2.0,7,7,0,[7.76441783 6.99408632],18,0,0
8,19,8,2,16,11.0,2,2,1,[11.35086963  9.80785388  7.41799489],4,2,0
9,19,5,3,13,10.0,4,4,0,[8.68991404 5.26487318 5.73206586],2,-1,0
10,19,1,4,9,14.0,1,1,1,[9.1075949  4.53392796 8.75135935],6,2,0
11,19,15,5,18,5.0,8,8,0,[8.04371549 6.43606025 4.67102415],3,-2,0
12,19,9,6,17,8.0,5,5,0,[13.78018456 13.12709954],5,-1,0
13,19,2,7,10,11.0,3,3,0,[ 3.47803816 14.03763413],8,1,0
14,19,17,8,19,2.0,11,11,0,[12.7996946  10.24264544 14.2405016 ],11,3,1
15,19,4,9,12,6.0,7,7,0,[8.23893033 4.15921329 7.20310002],7,-2,0
16,19,18,11,21,0.0,13,13,0,[11.22192909  5.59693858  8.96900985],12,1,0
17,19,14,12,20,0.0,12,12,0,[ 6.49313544 12.76943716  4.67757058],13,1,0
18,19,12,13,22,0.0,14,14,0,[12.91061967  9.99351453  9.82364689],9,-4,0
19,19,22,14,24,0.0,16,16,0,[ 6.02190795 14.08633869  7.55180119],16,2,0
20,19,3,16,11,6.0,6,6,0,[14.03794508 13.66980099],18,2,0
21,19,21,17,23,0.0,15,15,0,[10.29928091 12.02708595],17,0,0
22,19,6,18,14,3.0,9,9,0,[10.83642154  3.20802855],14,-4,0
23,19,7,19,15,2.0,10,10,0,[3.26408556 4.32220078],20,1,0
24,19,11,20,26,0.0,18,18,0,[3.94411653 6.73347645 5.75392861],22,2,0
25,19,19,22,25,0.0,17,17,0,[12.70152061 11.23341474  5.57940814],19,-3,0
26,20,9,1,35,14.0,4,4,0,[12.31008561  3.51481994  8.48968609],1,0,0
27,20,13,2,45,10.0,6,6,1,[11.53956856  4.16710087],3,1,0
28,20,1,3,27,14.0,3,3,1,[13.01009057  7.14843199],5,2,0
29,20,8,4,34,19.0,1,1,1,[4.68910654 7.76740364],4,0,0
30,20,5,5,31,14.0,5,5,0,[ 4.25550529 10.94849615],6,1,0
31,20,2,6,28,16.0,2,2,0,[14.41826651 11.50961113  5.48074573],7,1,0
32,20,15,7,36,8.0,7,7,0,[11.67205505 11.15629822],2,-5,0
33,20,3,8,29,7.0,8,8,0,[6.43918385 4.97834294],8,0,0
34,20,18,9,39,0.0,15,15,0,[ 8.80079663 13.89446065],9,0,0
35,20,4,10,30,6.0,9,9,0,[ 5.45101852 13.36692624  4.58439042],10,0,0
36,20,17,11,37,4.0,10,10,0,[5.02620666 6.75984017],12,1,0
37,20,22,12,42,0.0,16,16,0,[3.56276819 3.0097998 ],13,1,0
38,20,10,13,46,0.0,14,14,0,[11.18409331 11.49033891],14,1,0
39,20,12,14,40,0.0,17,17,0,[13.01202622 10.56562988],15,1,0
40,20,7,15,33,2.0,12,12,0,[ 5.43806438 14.74768583],16,1,0
41,20,6,16,32,3.0,11,11,0,[12.39740879 13.15599761],17,1,0
42,20,14,17,38,0.0,13,13,0,[ 8.07193738 13.68418424 10.51976915],20,3,0
43,20,21,18,41,0.0,18,18,0,[11.33883197 13.2774377 ],18,0,0
44,20,16,20,47,0.0,21,21,0,[11.46658071 11.68633098],11,-9,0
45,20,19,21,43,0.0,19,19,0,[12.13969588 11.30556116  9.0085967 ],21,0,0
46,20,11,22,44,0.0,20,20,0,[ 7.18313742 10.07571898 11.01834435],22,0,0
47,21,8,1,55,29.0,1,1,2,[3.21405876 9.33730775 4.64631733],1,0,0
48,21,4,2,51,6.0,10,10,0,[7.25977318 3.65596051],3,1,0
49,21,13,3,66,18.0,4,4,1,[3.90712618 9.79117656 4.77710886],2,-1,0
50,21,9,4,56,19.0,3,3,0,[11.4727439  13.71944433  8.72428929],4,0,0
51,21,1,5,48,20.0,2,2,1,[4.75327201 3.37908324 6.86934745],5,0,0
52,21,5,6,52,14.0,6,6,0,[12.51173618  4.73238199],6,0,0
53,21,17,7,58,8.0,8,8,0,[14.98083801  7.80517355 10.89861183],8,1,0
54,21,15,8,57,9.0,7,7,0,[11.55865773  6.60510407 11.30965001],9,1,0
55,21,2,9,49,16.0,5,5,0,[9.79034041 5.63428431 5.7653833 ],10,1,0
56,21,12,10,61,0.0,18,18,0,[14.11761606  5.09491613],11,1,0
