driverID,points,constructorID,total_points,NumberOfDrivers
1,913,1,2610,1625
1,1697,131,2610,354
2,163,2,259,140
2,28,3,259,1379
2,34,4,259,669
2,31,15,259,747
2,3,17,259,500
2,0,20,259,165
3,75.5,3,1594.5,1379
3,1519,131,1594.5,354
4,191,1,1849,1625
4,468,4,1849,669
4,1190,6,1849,2140
4,0,18,1849,672
5,75,1,105,1625
5,30,4,105,669
5,0,205,105,76
5,0,207,105,112
5,0,208,105,154
6,9,3,9,1379
7,6,5,6,452
8,337,1,1565,1625
8,829,6,1565,2140
8,9,15,1565,747
8,390,208,1565,154
9,137,2,273,140
9,136,4,273,669
10,49,7,51,280
10,2,17,51,500
10,0,166,51,76
10,0,206,51,109
11,4,8,44,78
11,38,16,44,236
11,2,17,44,500
12,19,4,19,669
13,351,3,1167,1379
13,789,6,1167,2140
13,27,15,1167,747
14,412,1,535,1625
14,63,3,535,1379
14,60,9,535,490
15,88,4,246.5,669
15,129.5,7,246.5,280
15,18,17,246.5,500
15,0,18,246.5,672
15,11,20,246.5,165
15,0,205,246.5,76
16,123,10,124,382
