DriverId,DriverName,FirstLapChangeList,FirstLapChangeMin,FirstLapChangeMax,FirstLapChangeFirstQuartile,FirstLapChangeMedian,FirstLapChangeThirdQuartile,FirstLapChangeMean,FirstLapChangeSd
1,Lewis Hamilton,"1,3,6,2,3,5,1,2,2,5,2,7,6,8,3,3,1,2,2,13,2,4,3,8,5,1,1,3,2,3,2,9,14,2,8,12,1,2,1,1,2,12,5,6,5,4,2,3,1,7,1,1,1,3,1,1,1,10,3,1,3,16,2,4,8,4,1,1,1,1,1,4,3,1,5,1,1,4,1,1,3,6,1,4,3,4,1,3,1,3,1,7,2,12,4,1,9,1,1,2,1,12,1,1,6,2,1,3,3,1,1,7,1,5,7,3,4,9,2,2,1,4,9,18,1,5,3,5,5,5,1,1,3,1,2,1,9,2,2,1,4,",1,18,1,3,5,3,3.3166247903553998
2,Nick Heidfeld,"2,4,4,4,9,10,12,6,4,3,8,5,2,3,4,4,12,15,19,9,8,10,10,4,6,16,7,8,14,6,7,2,7,11,8,8,11,8,2,2,7,8,12,13,5,8,14,16,13,7,6,12,2,6,7,12,15,17,6,6,15,8,4,11,10,6,12,10,3,3,6,12,9,9,6,11,2,5,11,10,5,5,4,8,14,9,10,11,7,9,14,5,7,7,13,12,12,10,6,17,3,17,6,10,2,10,8,7,10,13,6,10,10,7,8,13,9,7,9,6,8,",2,19,6,8,11,8,3.872983346207417
3,Nico Rosberg,"3,7,6,5,12,1,2,1,14,8,3,12,13,4,2,3,3,8,10,7,9,5,5,9,2,3,1,6,11,8,13,7,7,6,2,1,12,6,7,11,2,1,1,1,7,10,10,6,11,6,5,2,2,5,16,9,14,9,12,9,5,3,6,15,1,2,3,10,8,10,1,4,14,7,4,9,10,19,4,8,2,12,6,8,6,6,11,4,2,2,1,14,6,16,5,7,6,2,17,1,11,15,16,11,15,3,5,1,2,2,1,12,4,6,7,15,5,1,1,2,7,4,7,9,11,10,5,10,8,2,2,1,1,2,1,1,4,",1,19,2,6,10,6,4.4721359549995796
4,Fernando Alonso,"4,2,1,3,3,7,12,5,4,4,5,2,4,8,1,2,1,7,3,13,11,13,6,1,4,7,11,10,5,1,1,6,8,1,7,8,9,11,14,3,1,2,4,2,13,5,2,5,2,1,6,12,10,1,1,4,5,7,6,2,3,7,4,5,7,1,4,3,5,2,6,11,16,8,7,2,1,2,17,6,2,1,2,10,16,14,14,1,2,3,6,10,13,11,5,1,3,4,10,1,1,5,12,4,4,11,3,1,2,3,5,5,2,5,7,6,4,3,2,4,2,7,13,7,4,1,2,8,13,5,1,3,3,2,18,14,17,1,4,2,2,1,4,9,4,7,9,1,3,12,12,2,3,2,3,4,3,3,4,2,3,6,15,10,8,1,2,1,5,4,14,7,2,4,2,1,4,6,1,3,5,11,10,3,2,4,11,16,11,13,10,5,18,",1,18,2,4,8,5,4.358898943540674
5,Heikki Kovalainen,"5,10,13,3,8,15,18,5,9,12,15,17,7,16,8,13,14,13,9,4,16,18,4,15,5,7,17,17,5,19,1,8,5,14,17,10,8,6,16,15,17,2,7,6,18,13,14,2,9,5,14,16,23,7,9,18,16,14,14,8,8,16,11,12,18,15,",1,23,7,13,16,11,5.0990195135927845
6,Kazuki Nakajima,"6,17,12,14,7,13,7,15,15,8,11,14,13,9,14,13,12,10,15,12,17,10,12,15,",6,17,10,13,15,12,3.0
7,SÃ©bastien Bourdais,"7,8,10,15,13,8,13,17,11,12,18,7,18,10,13,11,14,",7,18,10,12,14,12,3.4641016151377544
8,Kimi RÃ_ikkÃ¶nen,"8,1,2,8,3,3,6,15,7,1,7,4,1,3,9,1,14,5,7,12,4,4,2,3,3,3,6,2,2,10,2,2,4,1,5,1,11,8,3,2,7,5,2,9,8,1,2,10,3,9,10,12,6,2,5,3,1,5,6,4,4,8,9,10,4,6,7,2,1,5,2,7,4,2,7,4,1,3,3,2,3,5,8,5,5,8,5,3,6,3,3,11,6,3,2,1,2,4,7,2,2,2,6,6,2,18,1,1,1,1,3,4,7,9,4,9,3,2,4,4,7,3,5,11,9,5,4,5,3,3,3,1,2,3,10,14,2,8,4,5,5,3,1,5,2,2,2,12,6,10,7,4,3,4,11,3,10,2,5,8,2,5,1,6,2,3,4,6,5,12,4,5,5,6,3,10,3,5,",1,18,2,4,7,4,3.3166247903553998
9,Robert Kubica,"14,2,2,18,4,3,6,18,11,4,4,11,8,2,5,3,1,7,5,4,4,13,7,7,8,5,13,6,9,4,3,3,5,3,8,2,7,6,13,13,5,11,5,9,2,9,7,14,9,9,",1,18,4,6,9,7,4.1231056256176606
10,Timo Glock,"4,14,3,16,17,9,7,19,11,10,18,19,18,12,10,14,4,7,16,21,11,12,9,18,16,18,18,22,2,6,16,17,21,9,10,18,18,15,11,11,17,15,17,7,15,7,21,19,6,15,20,16,9,17,15,14,20,16,",2,22,10,15,18,13,5.0990195135927845
11,Takuma Sato,"12,12,14,9,16,13,14,15,9,17,18,5,13,8,17,5,17,6,15,10,16,11,14,17,16,11,12,8,8,15,13,8,6,10,15,11,16,16,16,4,12,15,14,6,12,10,10,6,9,12,16,16,15,4,6,5,",4,18,9,12,15,11,4.0
12,Nelson Piquet Jr.,"11,13,10,12,7,12,2,6,12,10,4,8,16,13,",2,16,7,11,12,9,3.7416573867739413
13,Felipe Massa,"6,10,3,7,4,4,5,6,5,5,10,8,6,9,7,5,15,5,7,6,13,9,1,1,9,7,12,14,2,9,15,7,10,8,6,2,1,4,11,9,5,6,6,15,3,13,6,8,13,3,3,9,9,5,4,4,6,7,15,10,9,5,5,4,9,15,6,10,8,12,6,1,2,3,13,13,5,5,10,9,9,4,15,5,4,6,4,11,10,3,2,8,13,7,2,12,17,13,7,14,7,4,6,9,8,5,12,18,1,2,10,4,4,8,5,7,13,6,10,8,6,9,9,12,3,6,4,4,3,3,9,8,7,6,2,3,6,8,9,6,13,6,15,5,6,14,1,2,1,11,8,15,5,3,7,3,7,2,3,14,9,6,3,5,4,10,10,8,2,10,9,7,2,10,7,17,9,10,6,9,11,4,3,20,9,",1,20,4,7,10,7,3.872983346207417
14,David Coulthard,"8,4,8,1,2,2,1,9,6,6,3,2,18,10,8,12,5,14,8,10,3,5,2,2,2,6,14,3,7,1,5,1,2,3,8,7,6,2,7,7,7,4,5,9,13,9,10,6,5,3,4,1,6,7,6,3,11,12,13,7,5,10,1,1,4,5,3,5,13,11,7,4,2,5,3,5,2,5,2,11,11,5,9,5,5,3,3,2,2,2,11,7,4,2,4,1,7,4,16,12,15,6,7,5,1,6,4,10,8,9,9,9,9,11,4,3,1,2,10,2,5,4,15,3,3,3,3,3,11,12,5,6,2,3,2,1,4,6,3,3,3,3,10,8,6,7,",1,18,3,5,8,5,3.7416573867739413
15,Jarno Trulli,"9,9,7,5,9,3,13,4,7,9,2,5,5,8,12,4,17,6,7,16,2,4,3,17,8,10,3,3,10,4,12,6,9,15,17,18,13,15,17,10,1,6,4,7,13,15,13,6,6,6,11,6,17,3,5,4,5,6,7,10,7,11,9,6,6,9,8,7,16,9,7,14,11,3,9,12,4,7,10,12,4,7,8,7,8,7,8,15,16,11,9,12,6,15,19,14,13,11,7,5,10,4,13,10,14,14,5,13,13,15,19,8,8,13,12,8,5,4,12,19,18,13,9,8,4,8,2,17,5,5,13,9,5,15,6,11,5,8,13,12,2,13,19,11,9,",1,19,6,9,13,9,4.358898943540674
16,Adrian Sutil,"17,9,9,7,11,17,5,11,19,15,16,12,13,13,7,13,13,17,14,8,7,5,10,10,13,19,17,17,8,11,7,13,15,17,17,14,11,13,14,11,5,7,9,14,19,19,4,16,16,15,8,17,11,15,16,12,6,13,16,15,6,13,13,11,14,21,13,",4,21,9,13,15,12,4.0
17,Mark Webber,"13,5,5,12,9,5,4,6,7,10,6,2,4,4,2,7,6,6,8,11,8,4,7,5,9,6,12,7,3,1,4,11,5,4,3,11,5,1,4,1,3,12,9,12,5,7,11,5,3,7,4,6,12,12,9,6,8,10,11,8,14,2,1,3,1,2,6,11,6,8,9,9,7,10,6,16,3,1,5,8,4,8,7,4,9,2,2,6,5,8,9,10,14,9,7,6,20,3,8,14,10,8,7,10,2,8,3,4,9,9,11,1,2,1,4,2,3,7,6,15,1,3,7,6,7,13,11,4,11,10,17,2,4,9,2,",1,20,4,6,9,6,3.872983346207417
18,Jenson Button,"15,10,11,6,10,1,1,6,1,9,3,11,14,10,12,3,3,7,4,11,1,8,2,14,17,6,9,4,3,1,7,18,10,17,6,12,6,8,9,12,15,17,1,5,3,9,8,11,16,9,11,11,11,2,7,1,3,16,6,6,8,9,11,9,3,15,11,2,1,16,12,4,8,4,5,6,16,8,10,5,4,8,12,15,5,6,4,10,13,4,12,17,4,3,2,8,5,4,5,2,8,8,12,1,5,5,10,9,7,8,1,6,7,10,9,15,3,5,3,1,6,6,14,15,8,5,8,3,5,2,2,2,10,8,14,12,14,11,16,5,4,8,2,3,1,4,2,5,11,14,13,13,3,7,4,10,6,5,5,3,1,4,4,14,16,10,3,7,5,13,10,5,6,7,2,8,5,12,4,5,3,4,6,7,5,8,4,1,4,9,5,16,18,14,12,11,6,",1,18,4,7,11,7,4.4721359549995796
19,Anthony Davidson,"16,15,16,16,16,11,18,11,16,14,14,12,",11,18,14,16,16,14,2.0
20,Sebastian Vettel,"13,1,2,3,3,3,1,15,1,1,11,1,3,1,4,2,4,1,1,6,5,1,4,3,1,6,4,4,3,3,2,5,2,1,4,2,2,4,1,8,4,2,4,1,3,5,2,4,12,1,7,2,3,5,3,9,7,8,3,5,4,5,16,3,2,4,3,7,1,4,1,5,3,15,1,2,1,5,12,6,2,1,18,8,4,1,22,1,6,2,3,3,6,9,4,1,6,2,5,4,5,3,2,2,4,4,1,2,6,1,5,3,5,1,2,4,1,1,1,3,1,1,3,3,4,5,4,4,2,",1,22,2,3,5,4,3.6055512754639891
21,Giancarlo Fisichella,"5,5,1,10,13,5,4,11,12,6,1,11,13,9,11,18,12,8,11,15,10,9,3,5,7,14,9,9,9,14,4,6,12,10,5,3,5,2,6,9,4,4,5,3,2,2,3,8,18,6,6,6,12,11,9,9,9,8,4,4,6,7,13,7,7,5,7,11,10,16,6,4,9,13,4,7,11,15,12,9,8,6,8,14,17,5,3,11,2,2,12,4,3,8,10,8,10,11,8,4,9,5,17,11,3,4,7,14,18,6,5,9,1,6,2,6,8,11,10,6,6,6,12,11,5,6,13,11,8,9,15,11,5,4,3,2,8,17,14,14,8,7,12,7,",1,18,5,8,11,8,4.0
22,Rubens Barrichello,"11,7,2,2,3,2,5,2,8,13,11,10,4,2,2,3,5,5,12,11,13,15,9,2,5,10,10,7,9,2,3,3,5,7,12,2,9,17,6,10,4,8,3,8,7,2,2,9,2,9,2,9,7,12,3,2,5,3,2,5,2,7,14,9,14,11,9,3,7,3,3,3,10,9,6,7,3,9,10,7,3,1,2,3,8,4,11,4,10,3,5,13,10,12,4,2,1,6,12,16,18,4,10,2,1,2,4,5,6,7,10,10,13,13,5,3,2,5,10,6,7,16,17,10,6,12,1,3,1,2,4,10,13,5,4,1,10,12,13,10,11,15,6,12,1,4,12,13,15,7,6,3,4,8,14,14,11,5,3,2,3,1,5,4,3,11,5,4,6,10,6,3,2,3,4,3,5,12,11,1,2,5,4,8,9,5,7,9,17,10,4,",1,18,3,6,10,6,4.2426406871192848
23,Ralf Schumacher,"8,3,12,4,8,3,3,15,8,5,4,1,5,12,14,4,7,4,6,5,11,4,5,11,16,8,6,10,4,3,8,6,2,7,1,14,4,10,4,7,1,5,2,5,4,16,6,8,9,8,4,3,6,5,9,6,3,1,7,4,6,5,6,6,3,4,3,4,5,9,9,5,10,7,5,7,3,5,2,15,15,6,3,3,2,3,3,11,8,5,7,2,5,4,1,4,4,4,9,9,7,4,3,1,7,7,8,2,12,11,6,5,9,3,",1,16,4,5,8,6,3.4641016151377544
24,Vitantonio Liuzzi,"14,7,17,11,11,9,15,15,10,9,16,13,9,13,13,16,13,11,18,10,16,13,20,12,10,19,17,14,12,9,6,10,22,13,13,12,9,14,8,14,14,23,",6,23,10,13,15,13,3.7416573867739413
25,Alexander Wurz,"7,7,9,7,8,11,10,10,4,7,6,3,9,4,14,5,13,9,10,4,3,7,11,14,11,7,13,14,13,5,12,7,4,4,12,7,3,9,10,9,4,",3,14,5,8,11,8,3.3166247903553998
26,Scott Speed,"9,14,13,9,13,10,10,12,11,13,14,11,11,15,18,",9,18,10,12,13,12,2.2360679774997898
27,Christijan Albers,"11,12,13,14,13,14,19,12,14,11,15,15,15,18,13,10,12,17,19,15,16,14,14,13,17,16,",10,19,13,14,15,14,2.2360679774997898
29,Sakon Yamamoto,"20,19,17,20,20,19,12,17,16,16,17,16,",12,20,16,17,20,17,2.2360679774997898
