DriverId,DriverName,CircuitId,CircuitName,FirstLapChangeList,FirstLapChangeMin,FirstLapChangeMax,FirstLapChangeFirstQuartile,FirstLapChangeMedian,FirstLapChangeThirdQuartile,FirstLapChangeMean,FirstLapChangeSd
1,Lewis Hamilton,1,Melbourne Grand Prix Circuit,"1,3,6,2,3,5,1,2,2,",1,6,2,2,3,2,1.7320508075688772
1,Lewis Hamilton,2,Sepang International Circuit,"1,3,6,2,3,5,1,2,2,5,2,7,6,8,3,3,1,2,2,",1,8,2,3,5,3,2.4494897427831779
1,Lewis Hamilton,3,Bahrain International Circuit,"1,3,6,2,3,5,1,2,2,5,2,7,6,8,3,3,1,2,2,13,2,4,3,8,5,1,1,3,2,",1,13,2,3,4,4,3.4641016151377544
1,Lewis Hamilton,4,Circuit de Barcelona-Catalunya,"1,3,6,2,3,5,1,2,2,5,2,7,6,8,3,3,1,2,2,13,2,4,3,8,5,1,1,3,2,3,2,9,14,2,8,12,1,2,1,",1,14,2,3,8,5,4.5825756949558398
1,Lewis Hamilton,6,Circuit de Monaco,"1,3,6,2,3,5,1,2,2,5,2,7,6,8,3,3,1,2,2,13,2,4,3,8,5,1,1,3,2,3,2,9,14,2,8,12,1,2,1,1,2,12,5,6,5,4,2,3,1,7,",1,12,2,4,5,4,3.0
1,Lewis Hamilton,7,Circuit Gilles Villeneuve,"1,3,6,2,3,5,1,2,2,5,2,7,6,8,3,3,1,2,2,13,2,4,3,8,5,1,1,3,2,3,2,9,14,2,8,12,1,2,1,1,2,12,5,6,5,4,2,3,1,7,1,1,1,3,1,1,1,",1,3,1,1,1,1,0.0
1,Lewis Hamilton,8,Circuit de Nevers Magny-Cours,"1,3,6,2,3,5,1,2,2,5,2,7,6,8,3,3,1,2,2,13,2,4,3,8,5,1,1,3,2,3,2,9,14,2,8,12,1,2,1,1,2,12,5,6,5,4,2,3,1,7,1,1,1,3,1,1,1,10,3,",3,10,3,10,3,6,3.4641016151377544
1,Lewis Hamilton,9,Silverstone Circuit,"1,3,6,2,3,5,1,2,2,5,2,7,6,8,3,3,1,2,2,13,2,4,3,8,5,1,1,3,2,3,2,9,14,2,8,12,1,2,1,1,2,12,5,6,5,4,2,3,1,7,1,1,1,3,1,1,1,10,3,1,3,16,2,4,8,4,1,1,1,1,",1,16,1,2,3,3,4.358898943540674
1,Lewis Hamilton,10,Hockenheimring,"1,3,6,2,3,5,1,2,2,5,2,7,6,8,3,3,1,2,2,13,2,4,3,8,5,1,1,3,2,3,2,9,14,2,8,12,1,2,1,1,2,12,5,6,5,4,2,3,1,7,1,1,1,3,1,1,1,10,3,1,3,16,2,4,8,4,1,1,1,1,1,4,3,1,",1,4,1,3,4,2,1.0
1,Lewis Hamilton,11,Hungaroring,"1,3,6,2,3,5,1,2,2,5,2,7,6,8,3,3,1,2,2,13,2,4,3,8,5,1,1,3,2,3,2,9,14,2,8,12,1,2,1,1,2,12,5,6,5,4,2,3,1,7,1,1,1,3,1,1,1,10,3,1,3,16,2,4,8,4,1,1,1,1,1,4,3,1,5,1,1,4,1,1,3,6,1,4,",1,6,1,3,4,2,1.7320508075688772
1,Lewis Hamilton,13,Circuit de Spa-Francorchamps,"1,3,6,2,3,5,1,2,2,5,2,7,6,8,3,3,1,2,2,13,2,4,3,8,5,1,1,3,2,3,2,9,14,2,8,12,1,2,1,1,2,12,5,6,5,4,2,3,1,7,1,1,1,3,1,1,1,10,3,1,3,16,2,4,8,4,1,1,1,1,1,4,3,1,5,1,1,4,1,1,3,6,1,4,3,4,1,3,1,3,1,",1,4,1,3,3,2,1.0
1,Lewis Hamilton,14,Autodromo Nazionale Monza,"1,3,6,2,3,5,1,2,2,5,2,7,6,8,3,3,1,2,2,13,2,4,3,8,5,1,1,3,2,3,2,9,14,2,8,12,1,2,1,1,2,12,5,6,5,4,2,3,1,7,1,1,1,3,1,1,1,10,3,1,3,16,2,4,8,4,1,1,1,1,1,4,3,1,5,1,1,4,1,1,3,6,1,4,3,4,1,3,1,3,1,7,2,12,4,1,9,1,1,2,1,",1,12,1,2,4,4,3.7416573867739413
1,Lewis Hamilton,16,Marina Bay Street Circuit,"1,3,6,2,3,5,1,2,2,5,2,7,6,8,3,3,1,2,2,13,2,4,3,8,5,1,1,3,2,3,2,9,14,2,8,12,1,2,1,1,2,12,5,6,5,4,2,3,1,7,1,1,1,3,1,1,1,10,3,1,3,16,2,4,8,4,1,1,1,1,1,4,3,1,5,1,1,4,1,1,3,6,1,4,3,4,1,3,1,3,1,7,2,12,4,1,9,1,1,2,1,12,1,",1,12,1,12,1,6,5.4772255750516612
1,Lewis Hamilton,17,Shanghai International Circuit,"1,3,6,2,3,5,1,2,2,5,2,7,6,8,3,3,1,2,2,13,2,4,3,8,5,1,1,3,2,3,2,9,14,2,8,12,1,2,1,1,2,12,5,6,5,4,2,3,1,7,1,1,1,3,1,1,1,10,3,1,3,16,2,4,8,4,1,1,1,1,1,4,3,1,5,1,1,4,1,1,3,6,1,4,3,4,1,3,1,3,1,7,2,12,4,1,9,1,1,2,1,12,1,1,6,2,1,3,3,1,1,7,1,",1,7,1,2,3,2,2.0
1,Lewis Hamilton,18,AutÛdromo JosÈ Carlos Pace,"1,3,6,2,3,5,1,2,2,5,2,7,6,8,3,3,1,2,2,13,2,4,3,8,5,1,1,3,2,3,2,9,14,2,8,12,1,2,1,1,2,12,5,6,5,4,2,3,1,7,1,1,1,3,1,1,1,10,3,1,3,16,2,4,8,4,1,1,1,1,1,4,3,1,5,1,1,4,1,1,3,6,1,4,3,4,1,3,1,3,1,7,2,12,4,1,9,1,1,2,1,12,1,1,6,2,1,3,3,1,1,7,1,5,7,3,4,9,2,2,1,4,",1,9,2,4,5,4,2.2360679774997898
1,Lewis Hamilton,20,N¸rburgring (this is the same as 15. Merge the race years),"1,3,6,2,3,5,1,2,2,5,2,7,6,8,3,3,1,2,2,13,2,4,3,8,5,1,1,3,2,3,2,9,14,2,8,12,1,2,1,1,2,12,5,6,5,4,2,3,1,7,1,1,1,3,1,1,1,10,3,1,3,16,2,4,8,4,1,1,1,1,1,4,3,1,5,1,1,4,1,1,3,6,1,4,3,4,1,3,1,3,1,7,2,12,4,1,9,1,1,2,1,12,1,1,6,2,1,3,3,1,1,7,1,5,7,3,4,9,2,2,1,4,9,18,1,5,",1,18,5,9,18,8,6.2449979983983983
1,Lewis Hamilton,22,Suzuka Circuit,"1,3,6,2,3,5,1,2,2,5,2,7,6,8,3,3,1,2,2,13,2,4,3,8,5,1,1,3,2,3,2,9,14,2,8,12,1,2,1,1,2,12,5,6,5,4,2,3,1,7,1,1,1,3,1,1,1,10,3,1,3,16,2,4,8,4,1,1,1,1,1,4,3,1,5,1,1,4,1,1,3,6,1,4,3,4,1,3,1,3,1,7,2,12,4,1,9,1,1,2,1,12,1,1,6,2,1,3,3,1,1,7,1,5,7,3,4,9,2,2,1,4,9,18,1,5,3,5,5,5,1,1,3,1,",1,5,1,3,5,3,1.7320508075688772
1,Lewis Hamilton,32,AutÛdromo Hermanos RodrÌguez,"1,3,6,2,3,5,1,2,2,5,2,7,6,8,3,3,1,2,2,13,2,4,3,8,5,1,1,3,2,3,2,9,14,2,8,12,1,2,1,1,2,12,5,6,5,4,2,3,1,7,1,1,1,3,1,1,1,10,3,1,3,16,2,4,8,4,1,1,1,1,1,4,3,1,5,1,1,4,1,1,3,6,1,4,3,4,1,3,1,3,1,7,2,12,4,1,9,1,1,2,1,12,1,1,6,2,1,3,3,1,1,7,1,5,7,3,4,9,2,2,1,4,9,18,1,5,3,5,5,5,1,1,3,1,2,1,9,",1,9,1,2,1,4,3.4641016151377544
1,Lewis Hamilton,70,A1 Redbull Ring,"1,3,6,2,3,5,1,2,2,5,2,7,6,8,3,3,1,2,2,13,2,4,3,8,5,1,1,3,2,3,2,9,14,2,8,12,1,2,1,1,2,12,5,6,5,4,2,3,1,7,1,1,1,3,1,1,1,10,3,1,3,16,2,4,8,4,1,1,1,1,1,4,3,1,5,1,1,4,1,1,3,6,1,4,3,4,1,3,1,3,1,7,2,12,4,1,9,1,1,2,1,12,1,1,6,2,1,3,3,1,1,7,1,5,7,3,4,9,2,2,1,4,9,18,1,5,3,5,5,5,1,1,3,1,2,1,9,2,2,1,4,",1,4,2,2,4,2,1.0
2,Nick Heidfeld,1,Melbourne Grand Prix Circuit,"2,4,4,4,9,10,12,",2,12,4,4,4,6,3.4641016151377544
2,Nick Heidfeld,2,Sepang International Circuit,"2,4,4,4,9,10,12,6,4,3,8,5,2,3,",2,8,3,4,4,4,1.7320508075688772
2,Nick Heidfeld,3,Bahrain International Circuit,"2,4,4,4,9,10,12,6,4,3,8,5,2,3,4,4,12,15,19,",4,19,4,12,15,10,6.0
2,Nick Heidfeld,4,Circuit de Barcelona-Catalunya,"2,4,4,4,9,10,12,6,4,3,8,5,2,3,4,4,12,15,19,9,8,10,10,4,6,16,7,8,",4,16,7,8,10,8,3.1622776601683795
2,Nick Heidfeld,6,Circuit de Monaco,"2,4,4,4,9,10,12,6,4,3,8,5,2,3,4,4,12,15,19,9,8,10,10,4,6,16,7,8,14,6,7,2,7,11,8,8,11,8,",2,14,7,8,8,8,3.0
2,Nick Heidfeld,7,Circuit Gilles Villeneuve,"2,4,4,4,9,10,12,6,4,3,8,5,2,3,4,4,12,15,19,9,8,10,10,4,6,16,7,8,14,6,7,2,7,11,8,8,11,8,2,2,7,8,12,",2,12,2,7,8,6,3.7416573867739413
2,Nick Heidfeld,8,Circuit de Nevers Magny-Cours,"2,4,4,4,9,10,12,6,4,3,8,5,2,3,4,4,12,15,19,9,8,10,10,4,6,16,7,8,14,6,7,2,7,11,8,8,11,8,2,2,7,8,12,13,5,8,14,16,13,7,6,12,",5,16,7,12,13,10,3.7416573867739413
2,Nick Heidfeld,9,Silverstone Circuit,"2,4,4,4,9,10,12,6,4,3,8,5,2,3,4,4,12,15,19,9,8,10,10,4,6,16,7,8,14,6,7,2,7,11,8,8,11,8,2,2,7,8,12,13,5,8,14,16,13,7,6,12,2,6,7,12,15,17,6,6,15,8,",2,17,6,8,12,9,4.6904157598234297
2,Nick Heidfeld,10,Hockenheimring,"2,4,4,4,9,10,12,6,4,3,8,5,2,3,4,4,12,15,19,9,8,10,10,4,6,16,7,8,14,6,7,2,7,11,8,8,11,8,2,2,7,8,12,13,5,8,14,16,13,7,6,12,2,6,7,12,15,17,6,6,15,8,4,11,10,6,12,",4,12,6,10,11,8,3.0
