DriverID,DriverName,Points,ConstructorID,ConstructorName,TotalPoints,NumberOfDrivers,AveragePoints,NumberOfCollaborations,Years,ConstructorAveragePoints,StartingPosition,PositionAfterFirstLap,FinalPosition
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,1,1,1
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,9,5,5
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,3,9,13
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,5,4,3
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,3,2,1
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,1,1,19
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,13,10,10
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,4,2,1
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,1,1,1
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,1,2,5
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,1,1,3
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,15,14,7
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,1,6,12
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,1,1,1
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,4,4,5
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,4,3,3
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,4,2,2
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,2,2,2
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,4,2,2
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,2,2,2
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,1,1,1
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,2,3,3
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,1,1,3
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,10,19,9
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,1,1,1
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,2,2,2
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,4,4,4
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,1,1,1
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,1,1,19
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,2,8,7
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,18,13,20
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,12,10,7
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,9,9,6
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,5,3,4
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,14,15,9
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,19,18,12
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,18,15,16
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,5,20,18
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,4,3,1
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,1,1,12
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,3,2,3
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,17,12,3
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,4,5,3
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,11,7,6
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,20,13,6
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,6,6,2
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,3,3,14
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,5,5,5
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,1,1,1
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,4,2,2
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,6,4,4
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,5,6,20
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,2,1,1
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,8,6,5
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,4,5,4
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,2,2,2
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,2,3,8
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,3,2,1
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,3,4,2
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,9,10,6
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,5,5,24
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,10,6,4
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,2,1,1
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,2,2,4
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,2,4,22
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,2,3,4
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,3,2,5
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,4,5,22
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,1,2,3
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,1,1,3
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,7,5,3
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,2,2,8
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,24,20,8
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,3,3,5
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,2,2,1
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,8,8,8
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,7,8,24
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,1,1,1
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,1,1,1
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,9,7,5
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,1,1,20
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,3,4,5
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,4,4,3
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,1,1,3
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,9,10,5
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,2,4,12
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,2,2,4
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,2,2,3
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,1,1,4
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,1,3,5
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,1,1,1
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,1,2,3
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,12,10,9
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,3,20,20
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,5,4,9
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,1,4,19
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,1,1,1
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,2,1,1
1,Lewis Hamilton,913,1,McLaren,2610,1625,237.2727273,6,",2008,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",152.1666667,1,1,1
