driverId,ranking,circuits
1,1,_7_11_17
1,2_3,_1_2_3
1,4_10,_18_6_11
1,others,_7_13_18
2,2_3,_2_11_7
2,4_10,_4_20_14
2,others,_18_7_9
3,1,_6_17_18
3,2_3,_2_17_9
3,4_10,_3_11_7
3,others,_17_2_11
4,1,_10_3_2
4,2_3,_18_4_11
4,4_10,_6_11_1
4,others,_7_14_22
5,1,_11
5,2_3,_2_14_16
5,4_10,_13_11_20
5,others,_18_6_17
6,4_10,_11_14_18
6,others,_13_17_18
7,4_10,_1_16_13
7,others,_17_3_9
8,1,_13_1_2
8,2_3,_3_11_18
8,4_10,_7_14_22
8,others,_10_20_6
9,1,_7
9,2_3,_14_6_13
9,4_10,_13_18_4
9,others,_11_17_9
10,2_3,_11_2
10,4_10,_13_17_1
10,others,_14_18_22
11,4_10,_18_11_22
11,others,_20_1_9
12,2_3,_10
12,4_10,_11_14_17
12,others,_1_2_4
13,1,_3_18_8
13,2_3,_10_20_14
13,4_10,_2_9_13
13,others,_11_17_18
14,1,_1_6_9
14,2_3,_11_20_22
14,4_10,_8_7_10
14,others,_14_6_20
15,1,_6
15,2_3,_3_4_10
15,4_10,_11_2_9
15,others,_13_6_18
16,4_10,_13_1_6
16,others,_11_17_14
17,1,_18_6_9
17,2_3,_9_13_20
17,4_10,_11_3_13
17,others,_10_14_18
18,1,_1_11_13
18,2_3,_14_10_17
18,4_10,_22_11_9
18,others,_7_13_6
19,others,_2_11_13
20,1,_22_2_14
20,2_3,_17_1_4
20,4_10,_17_18_7
20,others,_11_13_1
21,1,_1_18_2
21,2_3,_7_13_22
21,4_10,_9_14_4
21,others,_11_2_21
22,1,_14_11_10
22,2_3,_1_6_9
22,4_10,_6_11_14
22,others,_18_10_7
23,1,_10_20_21
23,2_3,_14_1_11
23,4_10,_11_8_10
23,others,_4_20_6
24,4_10,_17_6_10
24,others,_18_4_11
25,2_3,_9_21_7
25,4_10,_2_4_9
25,others,_8_11_13
26,4_10,_1_8_7
26,others,_20_2_4
27,4_10,_11
27,others,_1_2_4
28,others,_20
29,others,_14_11_10
30,1,_7_8_21
30,2_3,_18_21_11
30,4_10,_10_14_18
30,others,_1_6_7
31,1,_14_18_9
31,2_3,_10_20_1
31,4_10,_9_11_20
31,others,_7_13_11
32,4_10,_10_13_2
32,others,_14_9_8
33,4_10,_11_3_13
33,others,_10_20_14
34,others,_1_3_2
35,1,_11_20_9
35,2_3,_10_4_11
35,4_10,_14_13_18
35,others,_7_6_11
36,others,_20_4_7
37,2_3,_11
37,4_10,_18_20_1
37,others,_13_22_4
38,others,_17_18_22
39,others,_17_2_4
40,others,_20_21_1
41,4_10,_1_7_13
41,others,_11_10_13
42,4_10,_14_11_10
42,others,_13_21_17
43,4_10,_6_10_22
43,others,_1_7_8
44,1,_6
44,2_3,_18_4
44,4_10,_10_1_8
44,others,_22_4_11
45,others,_11_10_20
46,others,_11_10_20
47,4_10,_7_6
47,others,_11_14_10
48,4_10,_14_10_20
48,others,_9_11_13
49,1,_8_14_21
49,2_3,_13_18_1
49,4_10,_4_1_6
49,others,_7_20_21
50,4_10,_7_10_14
50,others,_11_20_22
51,others,_11_10_20
52,4_10,_2_4
52,others,_20_21_22
53,others,_11_10_14
54,4_10,_1_8_2
54,others,_11_10_20
55,2_3,_14_4_7
55,4_10,_21_10_13
55,others,_1_6_11
56,1,_1_10_2
56,2_3,_6_22_25
56,4_10,_13_18_20
56,others,_4_10_20
57,1,_4_11_22
57,2_3,_9_8_10
57,4_10,_11_20_4
57,others,_10_1_14
58,4_10,_9_18_7
58,others,_11_13_20
59,4_10,_10_21_6
59,others,_20_18_1
60,4_10,_18_20_14
60,others,_21_2_11
61,others,_14_22
62,4_10,_1_8
62,others,_14_22_20
63,2_3,_10_14
63,4_10,_13_6_10
63,others,_20_7_11
66,4_10,_13_2_4
66,others,_11_10_20
67,4_10,_1_7_6
67,others,_13_2_9
69,4_10,_21_7_10
69,others,_13_11_25
153,4_10,_11_14_2
153,others,_18_22_11
154,2_3,_3_11_13
154,4_10,_4_17_3
154,others,_14_18_2
155,2_3,_22
155,4_10,_18_17_4
155,others,_11_3_2
807,4_10,_18_9_22
807,others,_11_17_3
808,2_3,_1
808,4_10,_13_17_11
808,others,_2_4_6
810,others,_11_10_13
811,4_10,_14_11_17
811,others,_13_22_10
812,others,_20_17_1
813,1,_4
813,4_10,_22_11_13
813,others,_14_2_11
814,4_10,_1_14_3
814,others,_11_22_13
815,2_3,_3_2_14
815,4_10,_4_14_22
815,others,_11_17_13
816,others,_14_11_13
817,1,_11_13_2
817,2_3,_6_11_13
817,4_10,_14_17_3
817,others,_18_11_22
818,4_10,_2_7_11
818,others,_14_17_3
819,others,_11_13_14
820,others,_11_13_14
821,4_10,_22
821,others,_11_13_14
822,1,_70
822,2_3,_7_32_9
822,4_10,_17_22_2
822,others,_6_11_18
823,others,_11_13_20
824,4_10,_6
824,others,_11_13_14
825,2_3,_1
825,4_10,_6_10_14
825,others,_11_13_3
826,2_3,_11_17
826,4_10,_4_9_13
826,others,_70_11_14
827,others,_13
828,4_10,_1_11_13
828,others,_22_3_2
829,others,_11_13_14
830,1,_32_2_4
830,2_3,_22_10_17
830,4_10,_11_14_18
830,others,_13_3_4
831,4_10,_1_18_17
831,others,_11_13_14
832,4_10,_1_4_6
832,others,_14_3_32
833,others,_11_13_14
834,others,_18_22_32
835,4_10,_2
835,others,_11_13_14
836,4_10,_4_70
836,others,_11_14_18
837,others,_11_10_17
838,4_10,_11_3_2
838,others,_13_14_17
839,4_10,_11_13_14
839,others,_13_14_22
840,4_10,_32_2_14
840,others,_11_13_22
841,others,_1_17
842,others,_18_2_22
843,others,_18_32
