DriverId,DriverName,FirstLapChangeList,FirstLapChangeMin,FirstLapChangeMax,FirstLapChangeFirstQuartile,FirstLapChangeMedian,FirstLapChangeThirdQuartile,FirstLapChangeMean,FirstLapChangeSd
1,Lewis Hamilton,"5,0,1,4,0,-1,-1,-3,0,-5,0,2,4,2,7,-1,0,0,0,0,0,0,2,-6,0,-1,0,-1,1,0,-6,-1,-1,1,2,0,-1,4,-2,0,-1,-1,1,1,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,-1,0,3,-1,3,2,0,2,4,0,0,2,-1,0,0,0,2,-1,3,1,1,-1,0,-1,0,0,0,1,-9,1,-1,0,0,1,-2,-1,1,0,6,0,0,1,0,-1,0,2,-3,0,-5,0,-5,0,0,0,0,0,1,2,0,0,0,1,0,5,0,-6,-1,-1,0,1,0,0,0,4,-15,-9,1,-2,1,2,1,2,-17,0,1,-6,0,0,0,-17,5,-1,0,1,",-17,7,-1,0,1,-1,3.1622776601683795
2,Nick Heidfeld,"-8,0,1,1,2,0,4,1,-2,5,1,-5,0,5,2,2,3,2,1,4,2,0,0,-9,-1,2,4,2,1,0,5,-3,4,0,2,0,7,0,3,2,4,0,2,2,0,-1,0,-1,1,2,3,5,-3,0,-1,5,0,-2,1,1,0,0,0,0,-1,3,4,1,2,3,1,-1,2,0,2,-1,2,1,-5,2,2,4,-2,1,0,3,-1,0,4,3,2,-2,0,4,-2,-4,-5,-2,1,3,1,3,1,-1,-3,2,5,4,-10,10,1,0,0,3,2,-1,1,2,4,-4,0,-4,4,0,1,0,4,3,-1,-18,4,-1,2,0,-1,2,-12,0,-2,-1,2,-2,-1,2,0,1,1,-4,2,-4,0,1,",-18,10,-1,1,2,0,3.3166247903553998
3,Nico Rosberg,"-1,3,0,1,0,3,0,2,0,-1,3,2,-1,-4,-1,-4,1,-1,1,0,-15,-1,1,-3,-9,1,-4,0,-1,-1,1,2,4,2,-1,-3,0,2,0,0,0,0,0,-1,2,-2,2,0,0,0,0,0,1,2,1,-3,0,0,1,0,0,-8,0,2,1,1,4,3,3,1,-3,-4,-1,0,-2,0,-1,0,5,0,-3,0,-3,0,-1,-1,3,2,-8,0,-1,-1,2,2,0,5,4,10,1,-1,-2,0,4,1,0,1,3,-5,0,1,-2,1,-3,1,0,1,-4,2,0,0,0,-1,-2,0,-1,4,5,1,2,-1,-2,0,0,0,0,6,-6,3,1,-1,0,-1,-2,-3,2,2,0,-3,0,0,0,0,1,1,",-15,10,-1,0,1,-1,2.8284271247461903
4,Fernando Alonso,"-4,2,-2,1,3,2,2,0,-15,-4,4,2,-1,1,1,5,-2,1,4,0,9,0,3,3,-2,3,1,-1,3,10,-1,-1,2,1,2,0,-3,1,4,0,2,1,0,2,-1,-2,0,1,2,0,2,0,3,1,2,0,1,1,-4,0,2,0,0,0,1,2,2,1,1,1,0,-1,2,1,-1,-1,0,1,2,0,2,0,0,0,1,-1,2,2,0,-1,2,0,0,0,0,1,-2,0,0,0,-1,2,1,2,-2,0,0,0,2,8,0,4,-1,1,1,3,4,2,0,0,3,2,0,1,-2,9,-4,2,0,1,1,0,1,1,1,3,1,0,3,2,0,0,1,-12,3,4,0,6,10,2,-1,1,0,3,0,2,3,5,-1,3,3,1,0,4,3,2,2,0,0,0,0,0,0,3,2,-1,1,1,2,2,-2,5,0,1,0,0,-7,0,-2,1,1,2,0,2,4,1,1,1,-1,0,1,3,1,0,1,0,1,0,-3,2,-2,0,1,8,1,2,0,0,0,2,0,3,0,3,-2,-1,2,-1,0,-7,",-15,10,0,1,2,0,2.6457513110645907
5,Heikki Kovalainen,"0,2,4,4,1,1,1,-6,0,9,-6,1,3,5,-8,7,0,0,-1,3,0,-15,-1,1,-2,4,0,4,7,0,1,1,-14,-6,0,2,1,-1,-2,0,2,-1,0,-1,2,-2,0,3,4,-8,3,-6,-7,8,-3,0,0,-1,8,1,0,0,0,0,3,7,1,2,-1,-2,-5,3,4,5,-4,3,-4,2,2,4,4,4,",-15,9,-1,1,3,0,4.2426406871192848
6,Kazuki Nakajima,"3,-3,-3,5,-4,-2,-1,-2,0,3,2,1,1,1,0,1,-2,5,0,2,-1,-5,0,1,3,-1,3,-6,2,",-6,5,-2,0,2,0,2.6457513110645907
7,Sacbastien Bourdais,"5,3,0,1,0,-2,1,2,0,-1,0,0,3,3,4,-16,1,0,-10,1,2,",-16,5,0,1,2,-1,4.5825756949558398
8,Kimi Raikkainen,"2,7,0,1,-6,-1,-2,-6,-3,4,2,3,-3,2,0,1,0,-1,0,1,3,2,2,-2,-1,-1,2,3,1,-1,9,2,5,4,1,-4,1,-1,-2,6,0,0,4,0,3,1,-1,1,-1,0,2,0,-1,-1,4,0,0,0,-1,0,3,1,0,2,0,1,0,0,-2,1,2,2,2,1,-1,1,0,1,0,1,-2,0,1,0,2,2,1,1,4,4,0,0,0,4,0,1,1,1,-1,2,-1,0,0,-1,0,0,0,1,1,1,3,-1,3,-1,1,0,2,3,3,3,0,-1,0,3,3,0,0,4,2,0,0,5,-1,1,-2,1,3,-18,0,1,1,1,0,0,3,0,1,0,1,-10,1,-12,1,0,-5,0,0,0,0,2,0,0,0,-2,2,2,-17,-1,-11,0,1,0,2,2,0,-2,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,-2,0,5,1,0,1,0,2,5,1,2,-1,2,2,-2,0,1,1,-5,3,1,-4,1,1,-2,",-18,9,0,0,2,0,2.8284271247461903
9,Robert Kubica,"0,0,0,5,-13,1,1,2,-2,-1,0,-12,-3,-1,0,-3,0,1,-1,-1,0,0,2,0,0,-1,2,1,3,3,0,5,-1,1,1,0,2,0,1,1,3,1,0,3,4,5,0,-2,3,0,-8,-1,4,-5,2,0,1,6,-7,-1,1,1,",-13,6,-1,0,1,0,3.3166247903553998
10,Timo Glock,"3,5,6,2,6,-5,-11,-2,1,1,1,1,1,2,-2,-3,5,-1,2,0,2,2,0,4,-3,5,1,0,-1,2,-2,3,1,0,2,1,2,3,1,1,-4,3,1,3,4,-1,-1,4,-1,1,7,7,-2,-2,-1,1,0,0,2,1,3,-1,1,4,2,2,0,5,-1,7,",-11,7,-1,1,3,1,2.8284271247461903
11,Takuma Sato,"8,0,8,6,-2,15,0,-5,1,9,5,6,3,3,2,1,2,0,-1,0,5,4,0,3,4,1,2,-2,5,-1,6,-1,-1,-3,-1,2,-13,1,-1,4,-10,-1,-1,4,3,3,-5,0,-1,4,-1,0,-1,0,-1,1,2,4,2,5,4,5,4,8,0,2,9,6,-2,-2,-8,1,0,3,1,1,-11,0,2,0,",-13,15,-1,1,4,1,4.2426406871192848
12,Nelson Piquet Jr,"5,8,4,1,4,3,-2,0,1,2,0,1,-2,2,-1,3,0,6,1,4,0,1,-5,",-5,8,0,1,3,1,2.8284271247461903
13,Felipe Massa,"3,-13,4,5,-1,3,3,6,2,0,1,1,4,0,-2,7,1,-1,1,7,1,2,-4,3,2,-9,2,-1,1,0,-1,0,1,-1,6,-1,4,-11,5,2,1,1,0,0,0,2,2,2,0,5,2,1,1,-1,-9,0,0,0,0,2,2,0,0,0,2,3,3,-8,1,0,0,1,0,2,-1,-1,-18,0,0,2,0,2,1,0,0,0,0,2,5,3,-8,-15,0,1,0,-9,-16,-1,1,6,2,0,4,0,0,6,1,3,2,-9,0,2,-2,-5,3,3,2,0,-3,-2,2,-2,-1,-1,-1,0,-2,-4,1,2,1,3,-2,0,-3,6,2,1,0,0,3,9,1,0,1,1,2,1,2,3,0,0,0,0,0,0,4,0,0,0,1,2,2,1,-1,3,-3,0,0,0,-2,0,3,1,1,2,3,0,0,1,3,4,1,0,5,-2,2,-1,1,1,0,0,1,0,-1,1,2,0,6,0,0,-15,-2,0,0,2,3,0,0,-11,7,",-18,9,0,0,2,0,3.7416573867739413
14,David Coulthard,"-2,2,-4,2,2,1,3,-1,0,0,0,2,1,4,1,8,-1,2,2,2,4,1,0,0,6,3,-2,1,1,2,3,0,2,-8,1,-19,0,1,0,0,3,-2,0,0,0,-1,1,-20,0,-1,0,-1,1,1,0,3,1,-7,2,2,0,0,-1,0,0,3,-4,3,-2,0,-2,0,1,0,-1,1,-1,3,3,1,0,-1,0,3,1,-15,1,0,1,3,2,-5,-4,5,-1,3,2,-1,-1,0,0,-3,4,2,0,3,1,3,-1,-1,-1,-2,0,2,3,-2,1,0,1,1,5,0,1,-8,3,1,1,5,1,-7,-6,3,-13,1,-2,2,3,1,0,1,0,1,1,1,-1,2,-5,0,-1,2,-1,-14,0,6,7,2,-9,8,9,0,0,1,-2,-1,1,4,4,0,-1,-9,4,0,-1,-1,0,0,2,3,1,2,1,2,0,0,0,-2,-1,4,-2,0,6,",-20,9,-1,0,2,0,3.7416573867739413
15,Jarno Trulli,"5,0,-1,0,4,3,5,1,0,4,6,5,3,0,-3,-1,1,0,3,-11,5,2,-6,1,-1,-1,2,-1,-1,0,1,0,-1,-13,-1,0,3,2,1,-1,3,7,4,3,3,-1,1,-4,-3,1,0,0,2,1,0,0,0,4,0,1,1,-1,0,2,-2,1,-1,-2,8,5,0,1,-13,0,0,2,0,0,-1,1,1,2,-2,-3,7,0,9,-2,0,1,1,1,5,2,3,5,-1,-1,8,-10,2,2,2,1,3,-1,3,5,2,1,0,-4,-6,-1,3,1,-3,-8,0,4,4,4,3,-2,-3,-3,-3,0,0,0,8,0,0,4,0,-1,-3,-2,1,-4,-1,0,1,-1,-5,-1,0,6,1,6,3,0,0,-13,-1,3,2,7,1,0,1,0,2,1,0,3,3,3,3,0,6,-1,2,-2,3,1,1,-4,0,-1,1,-2,2,1,1,2,2,1,2,2,6,-1,-1,1,1,7,3,-3,4,-2,-1,6,1,4,8,",-13,9,-1,1,3,0,3.4641016151377544
16,Adrian Sutil,"-2,7,-2,2,4,2,1,2,5,-1,1,-1,2,1,-1,0,-12,-16,2,3,3,-1,5,0,1,2,-1,2,0,-1,-2,0,0,2,0,0,2,1,3,0,7,0,1,0,2,1,-1,0,5,-2,0,1,1,-12,-3,-1,-5,0,4,0,4,-1,1,-1,3,1,-11,-5,5,-1,6,2,1,2,1,-5,3,2,-8,5,1,1,0,1,-4,-1,0,1,2,1,4,2,6,0,2,",-16,7,-1,1,2,0,3.7416573867739413
17,Mark Webber,"-11,0,1,-1,-2,0,10,-1,0,-4,-5,-2,2,-1,0,0,-7,6,1,-1,-6,1,2,4,1,0,-1,1,4,-1,0,1,0,-1,3,-1,-2,-3,-5,0,-2,-1,-4,0,-2,-2,0,-2,1,0,2,0,-1,0,0,-1,-3,4,0,-5,0,1,2,0,0,1,-1,2,2,-1,2,0,4,0,-16,2,0,0,-1,2,1,-1,0,-10,-1,3,-14,5,5,2,-1,1,1,0,2,-12,2,-1,1,1,-1,-2,4,3,3,0,0,-1,0,-5,-5,4,-3,-8,0,1,5,-4,1,1,1,-5,-2,-3,-1,-4,0,0,4,-1,2,1,1,0,1,-3,0,0,2,1,-10,-1,-2,0,2,1,0,-1,-1,-1,0,7,1,-1,4,-1,1,1,-1,0,-6,0,0,1,2,-3,-3,0,-1,0,-20,-1,",-20,10,-1,0,1,-1,3.6055512754639891
18,Jenson Button,"0,1,0,-3,0,2,2,6,-2,-2,1,1,-1,4,0,-2,0,-1,0,2,0,4,2,5,7,2,0,0,2,1,0,3,0,-11,-3,1,-1,0,-2,2,0,4,-1,0,3,1,0,0,1,2,1,0,-5,2,-3,-5,-3,4,0,-9,-1,-2,-1,-9,2,-3,-3,0,-2,1,1,0,1,0,0,0,-2,0,1,3,2,1,0,0,0,-1,-1,0,1,-4,3,1,-1,0,1,1,0,-1,-3,5,1,5,-1,0,5,5,5,1,6,1,3,0,1,0,1,-1,-2,1,5,3,5,-1,-1,1,5,3,-1,-2,-2,3,2,-1,-3,3,1,0,-4,0,1,5,2,2,0,0,0,1,1,1,10,0,0,1,0,2,0,4,-11,1,1,1,0,0,1,-2,3,-10,6,1,-3,-1,-2,0,5,-8,7,0,0,3,-1,0,-1,-2,0,1,2,0,-2,-1,3,5,3,2,4,-2,2,0,3,3,-4,2,0,0,3,0,3,1,-2,8,2,5,-1,1,1,2,-2,-3,0,0,0,0,-1,1,2,2,-1,1,-1,2,1,1,0,-2,0,-1,5,0,0,2,0,3,-1,-2,3,1,",-11,10,-1,0,2,0,2.8284271247461903
19,Anthony Davidson,"-10,1,3,-1,2,1,2,-3,-2,0,0,1,2,0,-1,0,-2,2,0,3,0,",-10,3,-1,0,2,-1,2.8284271247461903
