CircuitId_1,CircuitId_2,CircuitId_3,CircuitId_4,CircuitId_6,CircuitId_7,CircuitId_8,CircuitId_9,CircuitId_10,CircuitId_11,CircuitId_13,CircuitId_14,CircuitId_16,CircuitId_17,CircuitId_18,CircuitId_20,CircuitId_21,CircuitId_22,CircuitId_25,CircuitId_32,CircuitId_70
0.0,300.0,285.0,315.0,256.0,427.0,305.0,268.0,260.0,263.0,295.0,317.0,337.0,297.0,247.0,297.0,283.0,313.0,285.0,257.0,298.0
300.0,0.0,411.0,398.0,374.0,494.0,341.0,363.0,404.0,347.0,396.0,390.0,290.0,389.0,409.0,388.0,323.0,373.0,401.0,437.0,387.0
285.0,411.0,0.0,357.0,375.0,488.0,326.0,379.0,394.0,289.0,485.0,379.0,291.0,427.0,442.0,311.0,306.0,394.0,349.0,447.0,373.0
315.0,398.0,357.0,0.0,415.0,309.0,322.0,372.0,387.0,400.0,302.0,463.0,295.0,325.0,299.0,287.0,272.0,301.0,306.0,322.0,372.0
256.0,374.0,375.0,415.0,0.0,392.0,306.0,425.0,376.0,377.0,369.0,476.0,304.0,384.0,351.0,301.0,322.0,324.0,347.0,397.0,379.0
427.0,494.0,488.0,309.0,392.0,0.0,322.0,367.0,296.0,360.0,587.0,457.0,319.0,386.0,381.0,331.0,329.0,383.0,369.0,390.0,408.0
305.0,341.0,326.0,322.0,306.0,322.0,0.0,350.0,309.0,224.0,283.0,270.0,305.0,650.0,342.0,381.0,264.0,355.0,421.0,213.0,323.0
268.0,363.0,379.0,372.0,425.0,367.0,350.0,0.0,377.0,333.0,370.0,552.0,301.0,404.0,307.0,313.0,217.0,362.0,354.0,395.0,428.0
260.0,404.0,394.0,387.0,376.0,296.0,309.0,377.0,0.0,347.0,274.0,405.0,295.0,392.0,332.0,273.0,269.0,294.0,399.0,318.0,355.0
263.0,347.0,289.0,400.0,377.0,360.0,224.0,333.0,347.0,0.0,336.0,382.0,360.0,371.0,374.0,308.0,332.0,404.0,334.0,267.0,400.0
295.0,396.0,485.0,302.0,369.0,587.0,283.0,370.0,274.0,336.0,0.0,417.0,285.0,344.0,386.0,336.0,402.0,381.0,309.0,344.0,395.0
317.0,390.0,379.0,463.0,476.0,457.0,270.0,552.0,405.0,382.0,417.0,0.0,350.0,368.0,396.0,323.0,268.0,363.0,342.0,350.0,605.0
337.0,290.0,291.0,295.0,304.0,319.0,305.0,301.0,295.0,360.0,285.0,350.0,0.0,343.0,250.0,236.0,173.0,319.0,278.0,393.0,322.0
297.0,389.0,427.0,325.0,384.0,386.0,650.0,404.0,392.0,371.0,344.0,368.0,343.0,0.0,423.0,367.0,279.0,450.0,408.0,332.0,422.0
247.0,409.0,442.0,299.0,351.0,381.0,342.0,307.0,332.0,374.0,386.0,396.0,250.0,423.0,0.0,241.0,291.0,325.0,293.0,357.0,446.0
297.0,388.0,311.0,287.0,301.0,331.0,381.0,313.0,273.0,308.0,336.0,323.0,236.0,367.0,241.0,0.0,427.0,307.0,383.0,255.0,249.0
283.0,323.0,306.0,272.0,322.0,329.0,264.0,217.0,269.0,332.0,402.0,268.0,173.0,279.0,291.0,427.0,0.0,307.0,322.0,252.0,246.0
313.0,373.0,394.0,301.0,324.0,383.0,355.0,362.0,294.0,404.0,381.0,363.0,319.0,450.0,325.0,307.0,307.0,0.0,373.0,413.0,394.0
285.0,401.0,349.0,306.0,347.0,369.0,421.0,354.0,399.0,334.0,309.0,342.0,278.0,408.0,293.0,383.0,322.0,373.0,0.0,300.0,271.0
257.0,437.0,447.0,322.0,397.0,390.0,213.0,395.0,318.0,267.0,344.0,350.0,393.0,332.0,357.0,255.0,252.0,413.0,300.0,0.0,341.0
298.0,387.0,373.0,372.0,379.0,408.0,323.0,428.0,355.0,400.0,395.0,605.0,322.0,422.0,446.0,249.0,246.0,394.0,271.0,341.0,0.0
