driverId,ranking,circuits
1,1,_7_11_17
1,2_3,_1_2_3
1,4_10,_18_6_11
1,others,_4_20_14
2,2_3,_2_11_7
2,4_10,_4_20_14
2,others,_8_9_17
3,1,_6_17_18
3,2_3,_2_17_9
3,4_10,_3_11_7
3,others,_17_14_2
4,1,_10_3_2
4,2_3,_18_4_11
4,4_10,_6_11_1
4,others,_14_22_2
5,1,_11
5,2_3,_2_14_16
5,4_10,_13_11_20
5,others,_18_22_13
6,4_10,_11_14_18
6,others,_13_2_11
7,4_10,_1_16_13
7,others,_17_3_11
8,1,_13_1_2
8,2_3,_3_11_18
8,4_10,_7_14_22
8,others,_2_10_13
9,1,_7
9,2_3,_14_6_13
9,4_10,_13_18_4
9,others,_17_3_11
10,2_3,_11_2
10,4_10,_13_17_3
10,others,_14_22_4
11,4_10,_18_11_22
11,others,_14_2_9
12,2_3,_10
12,4_10,_11_14_17
12,others,_2_11_20
13,1,_3_18_8
13,2_3,_10_20_14
13,4_10,_2_9_13
13,others,_11_4_17
14,1,_1_6_9
14,2_3,_11_20_22
14,4_10,_8_7_10
14,others,_14_9_11
15,1,_6
15,2_3,_3_4_10
15,4_10,_11_2_9
15,others,_13_6_14
16,4_10,_13_1_6
16,others,_14_3_13
17,1,_18_6_9
17,2_3,_9_13_20
17,4_10,_11_3_13
17,others,_7_14_22
18,1,_1_11_13
18,2_3,_14_10_17
18,4_10,_22_11_9
18,others,_4_7_17
19,others,_3_2_13
20,1,_22_2_14
20,2_3,_17_1_4
20,4_10,_17_18_7
20,others,_13_14_2
21,1,_1_18_2
21,2_3,_7_13_22
21,4_10,_9_14_4
21,others,_2_20_22
22,1,_14_11_10
22,2_3,_1_6_9
22,4_10,_6_11_14
22,others,_17_14_11
23,1,_10_20_21
23,2_3,_14_1_11
23,4_10,_11_8_10
23,others,_14_22_3
24,4_10,_17_6_10
24,others,_9_14_18
25,2_3,_9_21_7
25,4_10,_2_4_9
25,others,_11_13_10
26,4_10,_1_8_7
26,others,_11_10_20
27,4_10,_11
27,others,_6_9_20
29,others,_13_14_17
30,1,_7_8_21
30,2_3,_18_21_11
30,4_10,_10_14_18
30,others,_11_17_22
31,1,_14_18_9
31,2_3,_10_20_1
31,4_10,_9_11_20
31,others,_11_3_2
32,4_10,_10_13_2
32,others,_14_9_18
33,4_10,_11_3_13
33,others,_20_22_2
34,others,_1
35,1,_11_20_9
35,2_3,_10_4_11
35,4_10,_14_13_18
35,others,_20_6_9
36,others,_9_8_6
37,2_3,_11
37,4_10,_20_18_1
37,others,_11_22_13
38,others,_22_17_10
39,others,_10_14_17
40,others,_1_9_3
41,4_10,_7_13_20
41,others,_11_13_14
42,4_10,_14_11_10
42,others,_13_21_17
43,4_10,_6_10_22
43,others,_8_11_21
44,1,_6
44,2_3,_18_4
44,4_10,_10_1_8
44,others,_11_13_22
45,others,_10_20_1
46,others,_11_10_20
47,4_10,_7_6
47,others,_14_11_10
48,4_10,_14_10_20
48,others,_9_11_13
49,1,_8_14_21
49,2_3,_13_18_1
49,4_10,_4_1_6
49,others,_7_9_8
50,4_10,_7_10_14
50,others,_11_22_4
51,others,_9_8_20
52,4_10,_2_4
52,others,_9_8_20
53,others,_11_10_14
54,4_10,_1_8_2
54,others,_20_4_21
55,2_3,_14_4_7
55,4_10,_21_10_13
55,others,_11_9_8
56,1,_1_10_2
56,2_3,_6_22_25
56,4_10,_13_18_20
56,others,_4_18_1
57,1,_4_11_22
57,2_3,_9_8_10
57,4_10,_11_20_4
58,4_10,_9_18_7
58,others,_11_13_14
59,4_10,_10_21_6
59,others,_9_13_20
60,4_10,_18_20_14
60,others,_2_10_13
61,others,_14
62,4_10,_1_8
62,others,_18_22_14
63,2_3,_10_14
63,4_10,_13_6_10
63,others,_11_10_13
66,4_10,_13_2_4
66,others,_11_8_20
67,4_10,_1_7_6
67,others,_2_11_13
69,4_10,_21_8_7
69,others,_11_18_13
153,4_10,_11_14_2
153,others,_18_22_1
154,2_3,_3_11_13
154,4_10,_4_17_3
154,others,_14_22_18
155,2_3,_22
155,4_10,_18_17_4
155,others,_11_10_13
807,4_10,_18_9_22
807,others,_3_17_11
808,2_3,_1
808,4_10,_13_17_11
808,others,_4_11_14
810,others,_11_13_14
811,4_10,_14_11_17
811,others,_22_10_13
812,others,_20_17_1
813,1,_4
813,4_10,_22_11_13
813,others,_11_14_9
814,4_10,_1_14_3
814,others,_22_11_20
815,2_3,_3_2_14
815,4_10,_4_14_22
815,others,_17_11_18
816,others,_11_13_20
817,1,_11_13_2
817,2_3,_6_11_13
817,4_10,_14_17_3
817,others,_11_18_22
818,4_10,_2_7_11
818,others,_17_11_10
819,others,_11_14_17
820,others,_11_13_17
821,4_10,_22
821,others,_13_14_4
822,1,_70
822,2_3,_7_32_9
822,4_10,_17_22_2
822,others,_6_9_11
823,others,_11_13_20
824,4_10,_6
824,others,_11_13_14
825,2_3,_1
825,4_10,_6_10_14
825,others,_11_4_13
826,2_3,_11_17
826,4_10,_4_9_13
826,others,_11_22_13
828,4_10,_1_11_13
828,others,_4_70_14
829,others,_11_13_14
830,1,_32_2_4
830,2_3,_22_10_17
830,4_10,_11_14_18
830,others,_13_17_4
831,4_10,_1_18_17
831,others,_11_13_3
832,4_10,_1_4_6
832,others,_14_32_10
833,others,_11_13_14
834,others,_18_22_32
835,4_10,_2
835,others,_11_13_22
836,4_10,_4_70
836,others,_11_18_22
837,others,_11_10_17
838,4_10,_11_3_2
838,others,_13_22_32
839,4_10,_11_13_14
839,others,_13_14_22
840,4_10,_32_2_14
840,others,_11_13_18
841,others,_1
842,others,_18_2_22
