raceId,driverId,constructorId,rank,points,grid,position,positionOrder,firstLapChange,pitStops
18,1,1,2,10,1,1,1,0,
18,2,2,3,8,5,2,2,0,
18,3,3,5,6,7,3,3,3,
18,4,4,7,5,11,4,4,2,
18,5,1,1,4,3,5,5,0,
18,6,3,14,3,13,6,6,-3,
18,7,5,12,2,17,7,7,3,
18,8,6,4,1,15,8,8,7,
18,9,2,9,0,2,,9,0,
18,10,7,13,0,18,,10,5,
18,11,8,15,0,19,,11,8,
18,12,4,16,0,20,,12,8,
18,13,6,6,0,4,,13,-13,
18,14,9,11,0,8,,14,-2,
18,15,7,10,0,6,,15,0,
18,16,10,17,0,22,,16,7,
18,17,9,,0,14,,17,-999,
18,18,11,,0,12,,18,-999,
18,19,8,,0,21,,19,-999,
18,20,5,,0,9,,20,-999,
18,21,10,,0,16,,21,-999,
18,22,11,8,0,10,,22,3,
19,8,6,2,10,2,1,1,0,
19,9,2,6,8,4,2,2,1,
19,5,1,7,6,8,3,3,1,
19,15,7,8,5,3,4,4,-3,
19,1,1,3,4,9,5,5,4,
19,2,2,1,3,5,6,6,-5,
19,17,9,12,2,6,7,7,2,
19,4,4,10,1,7,8,8,-2,
19,14,9,9,0,12,9,9,4,
19,18,11,4,0,11,10,10,0,
19,12,4,15,0,13,11,11,1,
19,21,10,16,0,17,12,12,-1,
19,22,11,11,0,14,13,13,-2,
19,3,3,13,0,16,14,14,2,
19,19,8,18,0,21,15,15,1,
19,11,8,19,0,19,16,16,0,
19,6,3,17,0,22,17,17,5,
19,20,5,14,0,15,,18,2,
19,13,6,5,0,1,,19,0,
19,16,10,20,0,20,,20,5,
19,10,7,,0,10,,21,-11,
19,7,5,,0,18,,22,-999,
20,13,6,3,10,2,1,1,1,
20,8,6,4,8,4,2,2,1,
20,9,2,5,6,1,3,3,-1,
20,2,2,2,5,6,4,4,0,
20,5,1,1,4,5,5,5,1,
20,15,7,7,3,7,6,6,2,
20,17,9,8,2,11,7,7,1,
20,3,3,6,1,8,8,8,1,
20,10,7,9,0,13,9,9,1,
20,4,4,13,0,10,10,10,2,
20,22,11,10,0,12,11,11,-1,
20,21,10,11,0,18,12,12,4,
20,1,1,19,0,3,13,13,-6,
20,6,3,17,0,16,14,14,-2,
20,7,5,15,0,15,15,15,0,
20,19,8,14,0,21,16,16,2,
20,11,8,20,0,22,17,17,6,
20,14,9,16,0,17,18,18,0,
20,16,10,18,0,20,19,19,-1,
20,12,4,12,0,14,,20,3,
20,18,11,21,0,9,,21,-11,
20,20,5,,0,19,,22,-999,
21,8,6,1,10,1,1,1,0,
21,13,6,2,8,3,2,2,1,
21,1,1,3,6,5,3,3,1,
21,9,2,4,5,4,4,4,-1,
21,17,9,8,4,7,5,5,-1,
21,18,11,5,3,13,6,6,0,
21,6,3,15,2,12,7,7,-2,
21,15,7,10,1,8,8,8,-1,
21,2,2,7,0,9,9,9,2,
21,21,10,14,0,19,10,10,4,
21,10,7,12,0,14,11,11,-3,
21,14,9,11,0,17,12,12,1,
21,11,8,17,0,22,13,13,2,
21,3,3,13,0,15,,14,4,
21,4,4,9,0,2,,15,-1,
21,22,11,16,0,11,,16,-1,
21,5,1,6,0,6,,17,0,
21,19,8,20,0,21,,18,2,
21,7,5,19,0,16,,19,-2,
21,12,4,18,0,10,,20,0,
21,16,10,,0,20,,21,-999,
21,20,5,,0,18,,22,-999,
22,13,6,3,10,1,1,1,0,
22,1,1,2,8,3,2,2,1,
22,8,6,1,6,4,3,3,-2,
22,9,2,4,5,5,4,4,2,
22,2,2,5,4,9,5,5,1,
22,4,4,6,3,7,6,6,2,
22,17,9,7,2,6,7,7,-1,
22,3,3,9,1,11,8,8,2,
22,14,9,12,0,10,9,9,0,
22,15,7,11,0,8,10,10,-3,
22,18,11,13,0,13,11,11,1,
22,5,1,8,0,2,12,12,-2,
22,10,7,16,0,15,13,13,-1,
22,22,11,14,0,12,14,14,-1,
22,12,4,10,0,17,15,15,-1,
22,16,10,18,0,19,16,16,4,
22,20,5,15,0,14,17,17,0,
22,7,5,17,0,18,,18,1,
22,6,3,,0,16,,19,-3,
22,21,10,,0,20,,20,-999,
23,1,1,6,10,3,1,1,1,
23,9,2,5,8,5,2,2,1,
23,13,6,4,6,1,3,3,0,
23,17,9,8,5,9,4,4,-2,
23,20,5,7,4,19,5,5,2,
23,22,11,9,3,14,6,6,1,
23,6,3,13,2,13,7,7,3,
23,5,1,2,1,4,8,8,-15,
23,8,6,1,0,2,9,9,-1,
23,4,4,3,0,7,10,10,2,
23,18,11,10,0,11,11,11,-9,
23,10,7,11,0,10,12,12,2,
23,15,7,12,0,8,13,13,1,
23,2,2,14,0,12,14,14,3,
23,16,10,16,0,18,,15,2,
23,3,3,15,0,6,,16,0,
23,12,4,17,0,17,,17,2,
23,21,10,18,0,20,,18,2,
23,14,9,20,0,15,,19,3,
23,7,5,19,0,16,,20,2,
24,9,2,4,10,2,1,1,0,
24,2,2,2,8,8,2,2,-1,
24,14,9,7,6,13,3,3,1,
24,10,7,17,5,11,4,4,-3,
24,13,6,6,4,6,5,5,0,
24,15,7,15,3,14,6,6,1,
24,22,11,10,2,9,7,7,1,
24,20,5,12,1,19,8,8,0,
24,5,1,11,0,7,9,9,0,
24,3,3,5,0,5,10,10,1,
24,18,11,19,0,20,11,11,0,
24,17,9,8,0,10,12,12,-1,
24,7,5,13,0,18,13,13,0,
24,21,10,16,0,17,,14,0,
24,6,3,14,0,12,,15,2,
24,4,4,9,0,4,,16,-1,
24,12,4,18,0,15,,17,0,
24,8,6,1,0,3,,18,0,
24,1,1,3,0,1,,19,0,
24,16,10,20,0,16,,20,0,
25,13,6,2,10,2,1,1,0,
25,8,6,1,8,1,2,2,0,
25,15,7,7,6,4,3,3,1,
25,5,1,3,5,10,4,4,1,
25,9,2,4,4,5,5,5,0,
25,17,9,6,3,6,6,6,-1,
25,12,4,10,2,9,7,7,1,
25,4,4,8,1,3,8,8,-1,
25,14,9,12,0,7,9,9,-4,
25,1,1,5,0,13,10,10,3,
25,10,7,13,0,8,11,11,2,
25,20,5,11,0,12,12,12,0,
25,2,2,9,0,11,13,13,-2,
25,22,11,14,0,20,14,14,2,
25,6,3,15,0,15,15,15,1,
25,3,3,17,0,19,16,16,0,
25,7,5,16,0,14,17,17,-1,
25,21,10,19,0,17,18,18,1,
25,16,10,18,0,18,19,19,1,
25,18,11,20,0,16,,20,-4,
26,1,1,3,10,4,1,1,2,
26,2,2,2,8,5,2,2,1,
26,22,11,11,6,16,3,3,6,
26,8,6,1,5,3,4,4,0,
26,5,1,5,4,1,5,5,0,
26,4,4,6,3,6,6,6,0,
26,15,7,13,2,14,7,7,7,
26,6,3,14,1,15,8,8,1,
26,3,3,16,0,20,9,9,4,
26,17,9,4,0,2,10,10,-16,
26,7,5,9,0,13,11,11,0,
26,10,7,15,0,12,12,12,3,
26,13,6,8,0,9,13,13,-8,
26,9,2,12,0,10,,14,2,
26,18,11,10,0,17,,15,5,
26,12,4,7,0,7,,16,2,
26,21,10,17,0,19,,17,4,
26,16,10,18,0,18,,18,7,
26,20,5,,0,8,,19,-999,
26,14,9,,0,11,,20,-999,
27,1,1,2,10,1,1,1,0,
27,12,4,9,8,17,2,2,-1,
27,13,6,5,6,2,3,3,0,
27,2,2,1,5,12,4,4,1,
27,5,1,4,4,3,5,5,0,
27,8,6,3,3,6,6,6,-1,
27,9,2,6,2,7,7,7,3,
27,20,5,8,1,9,8,8,1,
27,15,7,12,0,4,9,9,-1,
27,3,3,15,0,13,10,10,-1,
27,4,4,13,0,5,11,11,-1,
27,7,5,10,0,15,12,12,3,
27,14,9,11,0,10,13,13,-5,
27,6,3,17,0,16,14,14,0,
27,16,10,18,0,19,15,15,-1,
27,21,10,20,0,20,16,16,1,
27,18,11,16,0,14,17,17,1,
27,22,11,19,0,18,,18,1,
27,17,9,14,0,8,,19,-1,
27,10,7,7,0,11,,20,1,
28,5,1,7,10,2,1,1,-1,
28,10,7,6,8,5,2,2,1,
28,8,6,1,6,6,3,3,-1,
28,4,4,8,5,7,4,4,1,
28,1,1,3,4,1,5,5,-1,
28,12,4,4,3,10,6,6,0,
28,15,7,5,2,9,7,7,0,
28,9,2,9,1,4,8,8,-1,
28,17,9,10,0,8,9,9,0,
28,2,2,11,0,15,10,10,3,
28,14,9,16,0,13,11,11,2,
28,18,11,13,0,12,12,12,-2,
28,6,3,18,0,16,13,13,-2,
28,3,3,12,0,14,14,14,-3,
28,21,10,15,0,18,15,15,-1,
28,22,11,14,0,17,16,16,4,
28,13,6,2,0,3,17,17,2,
28,7,5,17,0,19,18,18,3,
28,16,10,19,0,20,,19,0,
28,20,5,20,0,11,,20,-4,
29,13,6,1,10,1,1,1,0,
29,1,1,2,8,2,2,2,0,
29,9,2,4,6,3,3,3,0,
29,5,1,3,5,5,4,4,1,
29,15,7,12,4,7,5,5,0,
29,20,5,6,3,6,6,6,0,
29,10,7,8,2,13,7,7,3,
29,3,3,10,1,9,8,8,1,
29,2,2,7,0,8,9,9,-1,
29,7,5,11,0,10,10,10,-1,
29,12,4,9,0,15,11,11,-1,
29,17,9,14,0,14,12,12,2,
29,18,11,18,0,16,13,13,3,
29,21,10,15,0,18,14,14,4,
29,6,3,13,0,11,15,15,-8,
29,22,11,16,0,19,16,16,2,
29,14,9,19,0,17,17,17,-1,
29,8,6,5,0,4,,18,-1,
29,16,10,17,0,20,,19,5,
29,4,4,,0,12,,20,-999,
30,13,6,3,10,2,1,1,-1,
30,2,2,7,8,5,2,2,-5,
30,1,1,2,6,1,3,3,0,
30,4,4,9,5,6,4,4,2,
30,20,5,8,4,10,5,5,-2,
30,9,2,5,3,8,6,6,0,
30,7,5,6,2,9,7,7,4,
30,17,9,10,1,7,8,8,0,
30,10,7,12,0,13,9,9,4,
30,5,1,4,0,3,10,10,-8,
30,14,9,11,0,14,11,11,-2,
30,3,3,15,0,15,12,12,2,
30,16,10,13,0,18,13,13,0,
30,6,3,17,0,19,14,14,0,
30,18,11,16,0,17,15,15,0,
30,15,7,14,0,11,16,16,-3,
30,21,10,19,0,20,17,17,0,
30,8,6,1,0,4,18,18,2,
30,22,11,20,0,16,,19,1,
30,12,4,18,0,12,,20,6,
31,20,5,14,10,1,1,1,0,
31,5,1,13,8,2,2,2,0,
31,9,2,12,6,11,3,3,1,
31,4,4,9,5,8,4,4,1,
31,2,2,6,4,10,5,5,1,
31,13,6,4,3,6,6,6,1,
31,1,1,5,2,15,7,7,1,
31,17,9,3,1,3,8,8,0,
31,8,6,1,0,14,9,9,1,
31,12,4,16,0,17,10,10,1,
31,10,7,8,0,9,11,11,1,
31,6,3,11,0,18,12,12,-1,
31,15,7,15,0,7,13,13,1,
31,3,3,10,0,5,14,14,1,
31,18,11,7,0,19,15,15,1,
31,14,9,17,0,13,16,16,1,
31,22,11,19,0,16,17,17,1,
31,7,5,2,0,4,18,18,-16,
31,16,10,18,0,20,19,19,3,
31,21,10,20,0,12,,20,1,
32,4,4,3,10,15,1,1,3,
32,3,3,5,8,8,2,2,-2,
32,1,1,4,6,2,3,3,0,
32,10,7,8,5,7,4,4,1,
32,20,5,9,4,6,5,5,1,
32,2,2,11,3,9,6,6,1,
32,14,9,13,2,14,7,7,-1,
32,6,3,10,1,10,8,8,-1,
32,18,11,15,0,12,9,9,-2,
32,5,1,12,0,5,10,10,-2,
32,9,2,6,0,4,11,11,0,
32,7,5,14,0,17,12,12,1,
32,13,6,2,0,1,13,13,0,
32,21,10,16,0,20,14,14,0,
32,8,6,1,0,3,15,15,0,
32,15,7,7,0,11,,16,2,
32,16,10,18,0,19,,17,0,
32,17,9,17,0,13,,18,0,
32,22,11,19,0,18,,19,1,
32,12,4,20,0,16,,20,-2,
33,4,4,3,10,4,1,1,2,
33,9,2,7,8,6,2,2,5,
33,8,6,2,6,2,3,3,-5,
33,12,4,4,5,12,4,4,4,
33,15,7,9,4,7,5,5,3,
33,20,5,12,3,9,6,6,-3,
33,13,6,1,2,5,7,7,0,
33,17,9,13,1,13,8,8,-4,
33,2,2,8,0,16,9,9,1,
33,7,5,6,0,10,10,10,1,
33,3,3,10,0,15,11,11,-3,
33,1,1,11,0,1,12,12,-5,
33,22,11,16,0,17,13,13,3,
33,18,11,17,0,18,14,14,7,
33,6,3,15,0,14,15,15,-5,
