DriverId,DriverName,FirstLapChangeList,FirstLapChangeMin,FirstLapChangeMax,FirstLapChangeFirstQuartile,FirstLapChangeMedian,FirstLapChangeThirdQuartile,FirstLapChangeMean,FirstLapChangeSd
1,Lewis Hamilton,"0,1,4,0,-1,-1,0,-5,0,4,2,2,7,-1,0,0,0,0,0,-6,0,2,-1,0,-1,1,0,-6,-1,1,2,-1,0,-1,4,-2,0,-1,-1,1,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,-1,0,3,-1,2,0,3,2,4,0,0,2,-1,0,0,0,2,3,1,-1,0,1,0,0,0,1,-9,1,-1,0,0,1,-1,0,6,0,1,0,0,-1,0,2,-3,0,-5,0,-5,0,0,0,0,1,2,0,0,0,1,0,0,-6,5,-1,1,0,0,0,4,-8,-15,1,-2,1,2,1,2,0,1,-6,0,0,0,-17,5,-1,0,1,",-17,7,0,0,1,-1,3.0
2,Nick Heidfeld,"0,1,1,1,-2,-8,5,-5,0,2,3,2,1,4,0,0,-9,2,2,2,0,5,4,0,2,0,4,7,3,2,4,0,2,2,0,-1,0,0,-1,1,2,5,0,-2,1,1,0,0,0,0,-1,3,1,2,3,1,-1,2,0,2,4,2,1,2,4,-2,1,3,-1,0,4,3,2,-2,0,0,-5,-2,1,3,-4,1,-1,-3,2,5,4,-10,3,1,0,3,2,-1,1,0,2,-4,0,-4,0,3,-17,4,-1,2,0,-1,-1,0,-2,2,-2,-1,1,1,-4,2,-4,0,1,",-17,7,0,1,2,0,3.0
3,Nico Rosberg,"3,0,-1,1,3,2,0,-1,2,3,-1,-4,1,-1,1,0,-15,1,-3,-9,-1,1,-4,0,-1,-1,1,2,-1,2,-3,0,2,0,0,0,-1,0,-2,2,0,0,0,0,0,1,2,-3,0,0,1,0,0,-8,0,2,1,4,3,3,1,1,-3,-4,-1,-2,0,-1,0,5,0,-3,-3,0,0,3,2,-8,0,-1,-1,2,0,2,5,4,10,1,-1,-2,0,1,0,4,3,-5,0,1,-2,1,-3,1,-4,2,0,0,0,0,-2,0,-1,5,1,2,-1,-2,0,0,0,0,3,6,1,-1,0,-2,-1,2,2,0,-3,0,0,0,0,1,1,",-15,10,-1,0,1,0,2.6457513110645907
4,Fernando Alonso,"2,-2,1,3,2,2,0,-4,-15,-4,4,2,-1,-2,1,4,0,9,0,3,5,3,-2,3,-1,10,-1,2,1,2,0,-3,-1,1,4,0,2,1,0,-2,0,1,2,0,2,2,0,3,1,2,0,-4,2,0,0,0,2,0,1,1,1,0,-1,1,-1,0,0,0,0,1,-1,2,0,-1,2,0,0,0,1,0,0,0,-1,2,2,-2,-2,0,0,0,2,8,0,-1,1,1,3,4,2,0,0,3,2,1,-2,-4,2,0,1,0,1,1,1,3,1,0,2,0,0,3,4,0,6,10,1,0,0,3,5,-1,-1,3,3,1,4,3,2,2,0,0,0,0,3,0,2,-1,1,1,2,2,-2,0,1,0,0,-7,0,1,1,2,0,2,4,1,1,-1,0,1,3,1,0,1,1,0,1,0,-3,2,1,8,1,0,0,0,0,2,3,0,3,-1,2,-1,0,",-15,10,0,1,2,0,2.4494897427831779
5,Heikki Kovalainen,"0,2,4,1,1,0,9,1,3,-6,5,-8,0,3,-15,-1,-2,4,0,4,7,1,1,-14,0,2,1,-2,0,-1,-1,2,0,-2,3,-8,3,4,-6,-7,8,0,0,-3,-1,8,1,0,3,0,7,1,2,-2,-1,3,4,5,-4,-3,3,2,2,4,4,4,",-15,9,-1,1,3,0,4.358898943540674
6,Kazuki Nakajima,"-3,5,-3,-2,-2,-1,3,0,1,1,1,0,-2,1,0,5,-1,2,-5,1,-1,3,-6,2,",-6,5,-2,0,2,-1,2.8284271247461903
7,SÃ©bastien Bourdais,"3,5,0,0,1,1,0,-1,0,3,3,4,-16,1,-10,0,1,",-16,5,0,1,3,-1,5.0
8,Kimi RÃ_ikkÃ¶nen,"7,0,1,-6,-2,-6,-3,2,4,2,3,0,0,-1,0,3,1,2,-2,-1,-1,2,1,-1,9,2,3,4,1,-4,1,-1,-2,0,4,0,3,-1,1,-1,0,2,0,-1,4,0,-1,3,-1,1,0,2,0,0,-2,1,2,2,2,1,-1,1,0,1,0,1,-2,0,1,0,2,2,1,1,4,0,0,0,4,0,1,1,4,-1,2,-1,0,0,-1,0,1,3,-1,-1,1,2,3,3,0,3,-1,0,3,0,0,2,0,0,5,4,1,1,3,-18,0,1,1,0,0,0,0,1,1,-10,1,-12,1,0,-5,0,0,0,0,0,0,0,-2,2,2,-17,-1,0,1,0,2,2,0,-2,-11,0,0,0,0,0,1,0,0,0,-2,5,1,2,5,1,2,-1,0,2,-2,0,1,1,-5,1,-4,1,1,-2,",-18,9,0,0,2,0,3.0
9,Robert Kubica,"0,5,1,1,2,-1,0,-2,-12,-1,0,-3,-3,1,-1,-1,0,2,0,0,1,-1,3,0,-1,1,5,0,1,2,1,1,0,3,4,5,0,3,-8,-2,-1,-5,2,0,4,1,-6,6,1,-1,",-12,6,-1,0,1,0,3.0
10,Timo Glock,"3,6,-5,1,1,1,1,2,-3,-2,5,-1,2,2,0,4,-3,5,0,-1,2,3,-2,1,0,2,2,3,1,1,-4,3,1,4,3,-1,-1,4,1,-1,7,7,-2,1,0,-1,0,2,1,3,-1,4,2,2,0,5,-1,7,",-5,7,-1,1,3,1,2.6457513110645907
11,Takuma Sato,"0,8,6,-2,0,-5,1,9,5,6,3,1,2,0,-1,0,4,1,2,-1,6,-1,-1,2,-13,1,-10,-1,-1,4,3,3,-5,0,-1,-1,0,-1,0,-1,1,2,4,4,5,4,8,0,2,-2,-8,3,1,0,2,0,",-13,9,-1,1,3,0,4.0
12,Nelson Piquet Jr.,"1,4,4,-2,1,-2,-1,0,3,1,4,1,0,-5,",-5,4,-1,1,1,0,2.4494897427831779
