DriverId,DriverName,CircuitId,CircuitName,FirstLapChangeList,FirstLapChangeMin,FirstLapChangeMax,FirstLapChangeFirstQuartile,FirstLapChangeMedian,FirstLapChangeThirdQuartile,FirstLapChangeMean,FirstLapChangeSd
1,Lewis Hamilton,1,Melbourne Grand Prix Circuit,"0,1,4,0,-1,-1,0,-5,0,",-5,4,-1,0,0,-1,2.2360679774997898
1,Lewis Hamilton,2,Sepang International Circuit,"0,1,4,0,-1,-1,0,-5,0,4,2,2,7,-1,0,0,0,0,0,",-1,7,0,0,2,1,2.2360679774997898
1,Lewis Hamilton,3,Bahrain International Circuit,"0,1,4,0,-1,-1,0,-5,0,4,2,2,7,-1,0,0,0,0,0,-6,0,2,-1,0,-1,1,0,-6,-1,",-6,2,-1,0,0,-2,2.6457513110645907
1,Lewis Hamilton,4,Circuit de Barcelona-Catalunya,"0,1,4,0,-1,-1,0,-5,0,4,2,2,7,-1,0,0,0,0,0,-6,0,2,-1,0,-1,1,0,-6,-1,1,2,-1,0,-1,4,-2,0,-1,-1,",-2,4,-1,0,0,0,1.4142135623730951
1,Lewis Hamilton,6,Circuit de Monaco,"0,1,4,0,-1,-1,0,-5,0,4,2,2,7,-1,0,0,0,0,0,-6,0,2,-1,0,-1,1,0,-6,-1,1,2,-1,0,-1,4,-2,0,-1,-1,1,0,1,0,-1,0,0,0,0,0,1,",-1,1,0,0,0,0,0.0
1,Lewis Hamilton,7,Circuit Gilles Villeneuve,"0,1,4,0,-1,-1,0,-5,0,4,2,2,7,-1,0,0,0,0,0,-6,0,2,-1,0,-1,1,0,-6,-1,1,2,-1,0,-1,4,-2,0,-1,-1,1,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,-1,0,",-1,0,0,0,0,-1,0.0
1,Lewis Hamilton,8,Circuit de Nevers Magny-Cours,"0,1,4,0,-1,-1,0,-5,0,4,2,2,7,-1,0,0,0,0,0,-6,0,2,-1,0,-1,1,0,-6,-1,1,2,-1,0,-1,4,-2,0,-1,-1,1,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,-1,0,3,-1,",-1,3,-1,3,-1,1,2.0
1,Lewis Hamilton,9,Silverstone Circuit,"0,1,4,0,-1,-1,0,-5,0,4,2,2,7,-1,0,0,0,0,0,-6,0,2,-1,0,-1,1,0,-6,-1,1,2,-1,0,-1,4,-2,0,-1,-1,1,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,-1,0,3,-1,2,0,3,2,4,0,0,2,-1,0,0,",-1,4,0,0,2,1,1.4142135623730951
1,Lewis Hamilton,10,Hockenheimring,"0,1,4,0,-1,-1,0,-5,0,4,2,2,7,-1,0,0,0,0,0,-6,0,2,-1,0,-1,1,0,-6,-1,1,2,-1,0,-1,4,-2,0,-1,-1,1,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,-1,0,3,-1,2,0,3,2,4,0,0,2,-1,0,0,0,2,3,1,",0,3,1,2,3,1,1.0
1,Lewis Hamilton,11,Hungaroring,"0,1,4,0,-1,-1,0,-5,0,4,2,2,7,-1,0,0,0,0,0,-6,0,2,-1,0,-1,1,0,-6,-1,1,2,-1,0,-1,4,-2,0,-1,-1,1,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,-1,0,3,-1,2,0,3,2,4,0,0,2,-1,0,0,0,2,3,1,-1,0,1,0,0,0,1,-9,1,-1,",-9,1,-1,0,0,-1,2.8284271247461903
1,Lewis Hamilton,13,Circuit de Spa-Francorchamps,"0,1,4,0,-1,-1,0,-5,0,4,2,2,7,-1,0,0,0,0,0,-6,0,2,-1,0,-1,1,0,-6,-1,1,2,-1,0,-1,4,-2,0,-1,-1,1,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,-1,0,3,-1,2,0,3,2,4,0,0,2,-1,0,0,0,2,3,1,-1,0,1,0,0,0,1,-9,1,-1,0,0,1,-1,0,6,0,",-1,6,0,0,0,0,2.2360679774997898
1,Lewis Hamilton,14,Autodromo Nazionale Monza,"0,1,4,0,-1,-1,0,-5,0,4,2,2,7,-1,0,0,0,0,0,-6,0,2,-1,0,-1,1,0,-6,-1,1,2,-1,0,-1,4,-2,0,-1,-1,1,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,-1,0,3,-1,2,0,3,2,4,0,0,2,-1,0,0,0,2,3,1,-1,0,1,0,0,0,1,-9,1,-1,0,0,1,-1,0,6,0,1,0,0,-1,0,2,-3,0,-5,0,",-5,2,-1,0,0,-1,1.7320508075688772
1,Lewis Hamilton,16,Marina Bay Street Circuit,"0,1,4,0,-1,-1,0,-5,0,4,2,2,7,-1,0,0,0,0,0,-6,0,2,-1,0,-1,1,0,-6,-1,1,2,-1,0,-1,4,-2,0,-1,-1,1,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,-1,0,3,-1,2,0,3,2,4,0,0,2,-1,0,0,0,2,3,1,-1,0,1,0,0,0,1,-9,1,-1,0,0,1,-1,0,6,0,1,0,0,-1,0,2,-3,0,-5,0,-5,0,",-5,0,-5,0,-5,-3,2.4494897427831779
1,Lewis Hamilton,17,Shanghai International Circuit,"0,1,4,0,-1,-1,0,-5,0,4,2,2,7,-1,0,0,0,0,0,-6,0,2,-1,0,-1,1,0,-6,-1,1,2,-1,0,-1,4,-2,0,-1,-1,1,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,-1,0,3,-1,2,0,3,2,4,0,0,2,-1,0,0,0,2,3,1,-1,0,1,0,0,0,1,-9,1,-1,0,0,1,-1,0,6,0,1,0,0,-1,0,2,-3,0,-5,0,-5,0,0,0,0,1,2,0,0,0,1,0,",0,2,0,0,0,0,0.0
1,Lewis Hamilton,18,AutÛdromo JosÈ Carlos Pace,"0,1,4,0,-1,-1,0,-5,0,4,2,2,7,-1,0,0,0,0,0,-6,0,2,-1,0,-1,1,0,-6,-1,1,2,-1,0,-1,4,-2,0,-1,-1,1,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,-1,0,3,-1,2,0,3,2,4,0,0,2,-1,0,0,0,2,3,1,-1,0,1,0,0,0,1,-9,1,-1,0,0,1,-1,0,6,0,1,0,0,-1,0,2,-3,0,-5,0,-5,0,0,0,0,1,2,0,0,0,1,0,0,-6,5,-1,1,0,0,0,4,",-6,5,0,0,1,0,2.8284271247461903
1,Lewis Hamilton,20,N¸rburgring (this is the same as 15. Merge the race years),"0,1,4,0,-1,-1,0,-5,0,4,2,2,7,-1,0,0,0,0,0,-6,0,2,-1,0,-1,1,0,-6,-1,1,2,-1,0,-1,4,-2,0,-1,-1,1,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,-1,0,3,-1,2,0,3,2,4,0,0,2,-1,0,0,0,2,3,1,-1,0,1,0,0,0,1,-9,1,-1,0,0,1,-1,0,6,0,1,0,0,-1,0,2,-3,0,-5,0,-5,0,0,0,0,1,2,0,0,0,1,0,0,-6,5,-1,1,0,0,0,4,-8,-15,1,-2,",-15,1,-8,-2,1,-6,6.0827625302982193
1,Lewis Hamilton,22,Suzuka Circuit,"0,1,4,0,-1,-1,0,-5,0,4,2,2,7,-1,0,0,0,0,0,-6,0,2,-1,0,-1,1,0,-6,-1,1,2,-1,0,-1,4,-2,0,-1,-1,1,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,-1,0,3,-1,2,0,3,2,4,0,0,2,-1,0,0,0,2,3,1,-1,0,1,0,0,0,1,-9,1,-1,0,0,1,-1,0,6,0,1,0,0,-1,0,2,-3,0,-5,0,-5,0,0,0,0,1,2,0,0,0,1,0,0,-6,5,-1,1,0,0,0,4,-8,-15,1,-2,1,2,1,2,0,1,-6,0,",-6,2,0,1,2,0,2.2360679774997898
1,Lewis Hamilton,32,AutÛdromo Hermanos RodrÌguez,"0,1,4,0,-1,-1,0,-5,0,4,2,2,7,-1,0,0,0,0,0,-6,0,2,-1,0,-1,1,0,-6,-1,1,2,-1,0,-1,4,-2,0,-1,-1,1,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,-1,0,3,-1,2,0,3,2,4,0,0,2,-1,0,0,0,2,3,1,-1,0,1,0,0,0,1,-9,1,-1,0,0,1,-1,0,6,0,1,0,0,-1,0,2,-3,0,-5,0,-5,0,0,0,0,1,2,0,0,0,1,0,0,-6,5,-1,1,0,0,0,4,-8,-15,1,-2,1,2,1,2,0,1,-6,0,0,0,-17,",-17,0,-17,0,-17,-6,8.0
