DriverID,Points,ConstructorID,ConstructorName,TotalPoints,NumberOfDrivers,AveragePoints,NumberOfCollaborations
1,913.0,1,McLaren,2610.0,1625,237.27272727272728,6
1,1697.0,131,Mercedes,2610.0,354,237.27272727272728,5
2,163.0,2,BMW Sauber,259.0,140,21.583333333333332,4
2,28.0,3,Williams,259.0,1379,21.583333333333332,1
2,34.0,4,Renault,259.0,669,21.583333333333332,1
2,31.0,15,Sauber,259.0,747,21.583333333333332,4
2,3.0,17,Jordan,259.0,500,21.583333333333332,1
2,0.0,20,Prost,259.0,165,21.583333333333332,1
3,75.5,3,Williams,1594.5,1379,144.95454545454547,4
3,1519.0,131,Mercedes,1594.5,354,144.95454545454547,7
4,191.0,1,McLaren,1849.0,1625,115.5625,4
4,468.0,4,Renault,1849.0,669,115.5625,6
4,1190.0,6,Ferrari,1849.0,2140,115.5625,5
4,0.0,18,Minardi,1849.0,672,115.5625,1
5,75.0,1,McLaren,105.0,1625,15.0,2
5,30.0,4,Renault,105.0,669,15.0,1
5,0.0,205,Lotus,105.0,76,15.0,2
5,0.0,207,Caterham,105.0,112,15.0,1
5,0.0,208,Lotus F1,105.0,154,15.0,1
6,9.0,3,Williams,9.0,1379,3.0,3
7,6.0,5,Toro Rosso,6.0,452,3.0,2
8,337.0,1,McLaren,1565.0,1625,104.33333333333333,5
8,829.0,6,Ferrari,1565.0,2140,104.33333333333333,7
8,9.0,15,Sauber,1565.0,747,104.33333333333333,1
8,390.0,208,Lotus F1,1565.0,154,104.33333333333333,2
9,137.0,2,BMW Sauber,273.0,140,54.6,4
9,136.0,4,Renault,273.0,669,54.6,1
10,49.0,7,Toyota,51.0,280,8.5,2
10,2.0,17,Jordan,51.0,500,8.5,1
10,0.0,166,Virgin,51.0,76,8.5,2
10,0.0,206,Marussia,51.0,109,8.5,1
11,4.0,8,Super Aguri,44.0,78,6.285714285714286,3
11,38.0,16,BAR,44.0,236,6.285714285714286,3
11,2.0,17,Jordan,44.0,500,6.285714285714286,1
12,19.0,4,Renault,19.0,669,9.5,2
13,351.0,3,Williams,1167.0,1379,77.8,4
13,789.0,6,Ferrari,1167.0,2140,77.8,8
13,27.0,15,Sauber,1167.0,747,77.8,3
14,412.0,1,McLaren,535.0,1625,35.666666666666664,9
14,63.0,3,Williams,535.0,1379,35.666666666666664,2
14,60.0,9,Red Bull,535.0,490,35.666666666666664,4
15,88.0,4,Renault,246.5,669,16.433333333333334,3
15,129.5,7,Toyota,246.5,280,16.433333333333334,6
15,18.0,17,Jordan,246.5,500,16.433333333333334,2
15,0.0,18,Minardi,246.5,672,16.433333333333334,1
15,11.0,20,Prost,246.5,165,16.433333333333334,3
15,0.0,205,Lotus,246.5,76,16.433333333333334,2
16,123.0,10,Force India,124.0,382,17.714285714285715,5
16,1.0,12,Spyker,124.0,34,17.714285714285715,1
16,0.0,15,Sauber,124.0,747,17.714285714285715,1
17,43.0,3,Williams,1047.5,1379,87.29166666666667,2
17,978.5,9,Red Bull,1047.5,490,87.29166666666667,7
17,2.0,18,Minardi,1047.5,672,87.29166666666667,1
17,24.0,19,Jaguar,1047.5,170,87.29166666666667,2
18,908.0,1,McLaren,1235.0,1625,68.61111111111111,8
18,12.0,3,Williams,1235.0,1379,68.61111111111111,1
18,14.0,4,Renault,1235.0,669,68.61111111111111,1
18,65.0,11,Honda,1235.0,152,68.61111111111111,3
18,139.0,16,BAR,1235.0,236,68.61111111111111,3
18,2.0,22,Benetton,1235.0,520,68.61111111111111,1
18,95.0,23,Brawn,1235.0,34,68.61111111111111,1
19,0.0,8,Super Aguri,0.0,78,0.0,2
19,0.0,16,BAR,0.0,236,0.0,1
19,0.0,18,Minardi,0.0,672,0.0,1
20,1.0,2,BMW Sauber,2425.0,140,220.45454545454547,1
